name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name
Reason,Emblem3,0KVPMByDZX7jCM56bakX7T,0.643,0.7959999999999999,-5.977,1,0.0372,0.0273,0.0,0.0783,0.616,85.05799999999999,198186,4,6,0,,23,2014-06-02,0,48,263405,1,['1md9aYaJ6Qt1FHypXICB5V'],7,1md9aYaJ6Qt1FHypXICB5V,Emblem3
Un Amor Eterno,Marc Anthony,3Wx05XUK4VGLYWTChk572f,0.5920000000000001,0.8759999999999999,-3.764,1,0.0295,0.254,5.16e-05,0.121,0.792,157.019,258640,4,13,0,,57,2019-05-10,92,81,4676094,1,['4wLXwxDeWQ8mtUIRPxGiD6'],9,4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony
Tu Vida en la Mía,Marc Anthony,4jzPGm9YsNvFvpL5as5DVc,0.643,0.8740000000000001,-3.714,1,0.033,0.34600000000000003,0.000299,0.36,0.877,93.494,374053,4,19,0,,65,2019-05-10,92,81,4676094,1,['4wLXwxDeWQ8mtUIRPxGiD6'],2,4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony
Parecen Viernes,Marc Anthony,0dqfl4l45vqw2TnNrnbsy0,0.6579999999999999,0.863,-3.575,0,0.0352,0.287,1.53e-05,0.16,0.9670000000000001,96.499,268440,4,9,0,,69,2019-05-10,92,81,4676094,1,['4wLXwxDeWQ8mtUIRPxGiD6'],7,4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony
Patchwork,Passenger,7nN2ZHD79krw8tgiAf1Tm5,0.46799999999999997,0.239,-13.251,0,0.0374,0.895,0.0,0.188,0.27,136.499,175476,4,10,0,,43,2020-07-10,0,78,2647284,1,['0gadJ2b9A4SKsB1RFkBb66'],2,0gadJ2b9A4SKsB1RFkBb66,Passenger
Gold Forever,The Wanted,7xxRuNd6pNlHSSYG3R68Cf,0.594,0.755,-4.922,1,0.0291,0.0489,0.0,0.08,0.196,127.988,238293,4,10,0,,14,2013-01-01,54,69,2114042,1,['2NhdGz9EDv2FeUw6udu2g1'],0,2NhdGz9EDv2FeUw6udu2g1,The Wanted
Heart Vacancy,The Wanted,460BzxiC1AXEASBl9jnH6H,0.578,0.669,-5.257999999999999,1,0.0324,0.209,0.0,0.102,0.273,84.03200000000001,223120,4,8,0,,14,2013-01-01,54,69,2114042,1,['2NhdGz9EDv2FeUw6udu2g1'],1,2NhdGz9EDv2FeUw6udu2g1,The Wanted
Lightning,The Wanted,19ApPVoc36u8Cqhg6KSjSo,0.607,0.888,-4.1819999999999995,1,0.0404,0.00172,0.00028399999999999996,0.102,0.32899999999999996,134.922,203760,4,10,0,,15,2013-01-01,54,69,2114042,1,['2NhdGz9EDv2FeUw6udu2g1'],3,2NhdGz9EDv2FeUw6udu2g1,The Wanted
Satellite,The Wanted,1sSMTDqx0GQUUQdFCutFM0,0.508,0.731,-5.71,1,0.0871,0.0722,0.0,0.0804,0.385,137.817,182573,4,9,0,,4,2013-01-01,54,69,2114042,1,['2NhdGz9EDv2FeUw6udu2g1'],7,2NhdGz9EDv2FeUw6udu2g1,The Wanted
When It All Comes Down,Bonnie McKee,10ex5Q9A8WrtaeJ0fjMQHd,0.48700000000000004,0.948,-3.821,1,0.0637,0.0689,0.000682,0.11699999999999999,0.39799999999999996,101.81200000000001,245386,4,10,0,,8,2004-09-07,0,50,52251,1,['7dtJROxWQe3fxxF5t7o67N'],11,7dtJROxWQe3fxxF5t7o67N,Bonnie McKee
Stardust - Commentary,MIKA,3iLFWW6m16hUjpGkGUGIJk,0.5920000000000001,0.20600000000000002,-19.169,1,0.903,0.775,0.0,0.449,0.315,102.46,156666,4,5,0,,5,2012-01-01,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],4,5MmVJVhhYKQ86izuGHzJYA,MIKA
Lola - Commentary,MIKA,2DC5dKvoYI5FBdUtyLVVA3,0.723,0.26,-15.695,1,0.687,0.546,0.0,0.0974,0.41100000000000003,116.93799999999999,238413,4,9,0,,6,2012-01-01,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],4,5MmVJVhhYKQ86izuGHzJYA,MIKA
The Way!,Fantasia,5Clx299bl2KnjDnpMNbQTZ,0.23600000000000002,0.42700000000000005,-7.556,0,0.0294,0.342,0.0,0.139,0.408,84.875,125759,4,6,0,,24,2019-10-11,97,62,1264040,1,['7xAcVHPiirnUqfdqo0USb1'],5,7xAcVHPiirnUqfdqo0USb1,Fantasia
Fighting,Fantasia,6KaxKtqO8Ij9FZHNvgufCa,0.475,0.77,-2.5869999999999997,1,0.0395,0.436,0.0,0.153,0.21,150.241,225677,4,11,0,,20,2019-10-11,97,62,1264040,1,['7xAcVHPiirnUqfdqo0USb1'],8,7xAcVHPiirnUqfdqo0USb1,Fantasia
Codigo,George Strait,2bnza4qcST8dtKKOUKqvuS,0.596,0.774,-5.023,1,0.0351,0.479,2.27e-05,0.359,0.846,166.88299999999998,193693,4,9,0,,41,2019-03-29,449,76,2218424,1,['5vngPClqofybhPERIqQMYd'],2,5vngPClqofybhPERIqQMYd,George Strait
Looking For You (feat. Mama Diane),Fantasia,5jl5mn8RGzh6HvA2VAUQlc,0.634,0.43700000000000006,-5.556,1,0.10400000000000001,0.545,3.9e-05,0.142,0.48200000000000004,144.093,257591,4,11,0,,35,2019-10-11,97,62,1264064,2,"['7xAcVHPiirnUqfdqo0USb1', '23Cdgz2uPTMly5TQrdzpwK']",1,7xAcVHPiirnUqfdqo0USb1,Fantasia
Chip Chrome,The Neighbourhood,4Kt8Z1uo9Y0MXog8Y44ih9,0.205,0.7390000000000001,-13.072000000000001,1,0.0546,0.961,0.937,0.33899999999999997,0.0385,79.988,31045,4,2,0,,53,2020-09-25,0,85,4680742,1,['77SW9BnxLY8rJ0RciFqkHh'],6,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood
Sand Paper,Cassadee Pope,5AZTrHCwPehav1EtdRjIEI,0.642,0.42,-6.01,1,0.0371,0.62,0.0,0.201,0.682,159.725,213788,4,13,0,,30,2020-08-07,4,63,200129,1,['7ahuvq1mbb4idwG1iJbSFG'],7,7ahuvq1mbb4idwG1iJbSFG,Cassadee Pope
Rise and Shine,Cassadee Pope,0SjIo6BGy7Aq2vuKnEkB4D,0.508,0.222,-9.93,1,0.0295,0.7020000000000001,0.0,0.12300000000000001,0.33399999999999996,76.845,220233,4,8,0,,39,2020-08-07,4,63,200129,1,['7ahuvq1mbb4idwG1iJbSFG'],2,7ahuvq1mbb4idwG1iJbSFG,Cassadee Pope
Counting on the Weather,Cassadee Pope,0e3QKL78KySYiWYhlJ9oiP,0.629,0.39,-8.349,1,0.0282,0.718,0.0,0.12,0.605,143.87,210031,4,11,0,,31,2020-08-07,4,63,200129,1,['7ahuvq1mbb4idwG1iJbSFG'],0,7ahuvq1mbb4idwG1iJbSFG,Cassadee Pope
California Dreaming,Cassadee Pope,7IrlO2c4jHjs1KHK5D4YXZ,0.64,0.204,-9.76,1,0.0298,0.858,0.0,0.11,0.375,107.92299999999999,219433,4,15,0,,31,2020-08-07,4,63,213148,2,"['7ahuvq1mbb4idwG1iJbSFG', '6zO84xQ3YiDtFTfKb2Tg5M']",6,7ahuvq1mbb4idwG1iJbSFG,Cassadee Pope
Hoodie,Cassadee Pope,51rmbZbSxwrLGhFEsC61cT,0.499,0.486,-6.019,1,0.0417,0.784,0.0,0.21100000000000002,0.741,88.835,181432,4,8,0,,35,2020-08-07,4,63,200129,1,['7ahuvq1mbb4idwG1iJbSFG'],1,7ahuvq1mbb4idwG1iJbSFG,Cassadee Pope
Breakaway - The Voice Performance,Amber Carrington,2COwDb7DvUCQ0HRJmqqlzY,0.387,0.79,-3.9739999999999998,1,0.0396,0.00952,0.0,0.19399999999999998,0.445,159.961,220840,3,10,0,,14,2013-01-01,0,21,874,1,['6YdYhEJqzEypHPI4KA0KyF'],1,6YdYhEJqzEypHPI4KA0KyF,Amber Carrington
Love Song #16,Jack Johnson,3y9ay8ZKpkSAisQVNi5Tau,0.7859999999999999,0.135,-7.419,1,0.0606,0.932,0.0,0.0906,0.65,119.073,181600,4,7,0,,48,2017-09-08,73,82,2984267,1,['3GBPw9NK25X1Wt2OUvOwY3'],4,3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson
Big Sur,Jack Johnson,2NM15QecEF0GKHwQwvRQnR,0.8170000000000001,0.524,-8.097999999999999,1,0.0749,0.677,0.000251,0.0932,0.764,114.12799999999999,172733,4,8,0,,49,2017-09-08,73,82,2984267,1,['3GBPw9NK25X1Wt2OUvOwY3'],4,3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson
Daybreaks,Jack Johnson,2DVu4JT6RrsinBgTSk8kWG,0.7759999999999999,0.35700000000000004,-8.918,1,0.0342,0.914,0.00016,0.115,0.715,127.40299999999999,240786,4,10,0,,47,2017-09-08,73,82,2984267,1,['3GBPw9NK25X1Wt2OUvOwY3'],0,3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson
My Mind Is For Sale,Jack Johnson,4zohK59ouRruiqESaTcOZW,0.83,0.682,-7.16,1,0.134,0.6759999999999999,0.000367,0.12300000000000001,0.762,97.84899999999999,239840,4,13,0,,64,2017-09-08,73,82,2984267,1,['3GBPw9NK25X1Wt2OUvOwY3'],2,3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson
You Can’t Control It,Jack Johnson,5QelHPHLcPXZpdTInaSJk6,0.802,0.39799999999999996,-9.404,1,0.096,0.621,0.0562,0.0758,0.42100000000000004,96.023,249493,4,8,0,,48,2017-09-08,73,82,2984267,1,['3GBPw9NK25X1Wt2OUvOwY3'],7,3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson
Subplots,Jack Johnson,0xf9XvTqzMSqqN7Vpqybsd,0.6559999999999999,0.37,-7.915,1,0.0302,0.765,0.000638,0.0985,0.34600000000000003,83.949,269333,4,8,0,,49,2017-09-08,73,82,2984267,1,['3GBPw9NK25X1Wt2OUvOwY3'],0,3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson
Miles of Memories,Michelle Chamuel,77QptIUZNRRN5x9Y62pLQ3,0.725,0.484,-10.636,1,0.0437,0.266,0.0182,0.10099999999999999,0.337,121.941,194750,4,10,0,,5,2017-05-30,1,20,6396,1,['6AXr7aXrJYFI3XjslAWDPY'],0,6AXr7aXrJYFI3XjslAWDPY,Michelle Chamuel
Final Swim,Michelle Chamuel,5I5E9jnAaDvFUmZCg9OXb0,0.5579999999999999,0.382,-13.272,1,0.0357,0.867,0.00031099999999999997,0.10099999999999999,0.371,88.015,163000,4,8,0,,4,2017-05-30,1,20,6396,1,['6AXr7aXrJYFI3XjslAWDPY'],8,6AXr7aXrJYFI3XjslAWDPY,Michelle Chamuel
Good on You,Krewella,6MZ43oKR8vOH2uKOy31uav,0.7,0.725,-5.644,0,0.0432,0.0524,5.97e-06,0.256,0.192,109.95100000000001,159198,4,9,0,,40,2020-01-31,20,67,2237280,2,"['0Cd6nHYwecCNM1sVEXKlYr', '2CkrXQPoBz8jTQ3u0ZeLPh']",6,0Cd6nHYwecCNM1sVEXKlYr,Krewella
zer0,Krewella,7nMBN3eKuRfcQGEnzDeNKP,0.522,0.612,-7.147,1,0.0504,0.11599999999999999,1.28e-05,0.271,0.1,96.023,227539,4,12,0,,40,2020-01-31,20,67,832490,1,['0Cd6nHYwecCNM1sVEXKlYr'],1,0Cd6nHYwecCNM1sVEXKlYr,Krewella
Lonely Alone,Sheryl Crow,1tDJdQc60knIRGXwOlfSIN,0.529,0.489,-8.742,0,0.0374,0.307,0.000778,0.135,0.316,123.846,277546,4,12,0,,35,2019-08-30,110,76,1947780,2,"['4TKTii6gnOnUXQHyuo9JaD', '5W5bDNCqJ1jbCgTxDD0Cb3']",4,4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow
Everything Is Broken,Sheryl Crow,5EZzpwaya04PRQIxtkTkeY,0.42200000000000004,0.904,-3.1910000000000003,1,0.141,0.0254,0.0030399999999999997,0.122,0.551,151.129,272213,4,10,0,,34,2019-08-30,110,70,966728,2,"['4TKTii6gnOnUXQHyuo9JaD', '3Q8wgwyVVv0z4UEh1HB0KY']",4,4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow
Cross Creek Road,Sheryl Crow,3p0E7ZwMOH6fpG4rcdtnXq,0.40700000000000003,0.7709999999999999,-4.871,1,0.0374,0.228,2.24e-06,0.147,0.41600000000000004,141.903,286967,4,9,0,,34,2019-08-30,110,75,2721201,3,"['4TKTii6gnOnUXQHyuo9JaD', '1oK57qVDixqM7no13U1mK9', '6v8FB84lnmJs434UJf2Mrm']",7,4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow
Redemption Day,Sheryl Crow,5tRw2H1fJ0pnyLNJly6tL7,0.342,0.251,-9.551,1,0.033,0.924,5.25e-06,0.111,0.18100000000000002,85.97200000000001,286173,4,12,0,,37,2019-08-30,110,80,4995758,2,"['4TKTii6gnOnUXQHyuo9JaD', '6kACVPfCOnqzgfEF5ryl0x']",3,4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow
Beware Of Darkness,Sheryl Crow,1R6NcAtNYf2myFGmgOx89D,0.435,0.555,-6.622000000000001,0,0.0314,0.485,5.94e-05,0.11800000000000001,0.161,129.987,218200,4,9,0,,37,2019-08-30,110,78,6960866,4,"['4TKTii6gnOnUXQHyuo9JaD', '6PAt558ZEZl0DmdXlnjMgD', '0Ty63ceoRnnJKVEYP0VQpk', '2sG4zTOLvjKG1PSoOyf5Ej']",1,4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow
Story Of Everything,Sheryl Crow,6exGzQG7704sf82TorgroD,0.61,0.747,-4.3180000000000005,1,0.109,0.0171,0.000776,0.218,0.607,94.01299999999999,382853,4,20,0,,32,2019-08-30,110,70,1738769,4,"['4TKTii6gnOnUXQHyuo9JaD', '1JfH8gevkDviqs50A5NO0L', '1c4rxrxy8eDLvMVL1DTiBe', '01aC2ikO4Xgb2LUpf9JfKp']",2,4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow
Tell Me When It’s Over,Sheryl Crow,4hx9NTugoBdIG8MkAi2fzI,0.665,0.758,-3.5060000000000002,0,0.0316,0.0862,4.41e-06,0.18100000000000002,0.742,98.00399999999999,296933,4,12,0,,40,2019-08-30,110,80,3411430,2,"['4TKTii6gnOnUXQHyuo9JaD', '4YLtscXsxbVgi031ovDDdh']",9,4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow
Prove You Wrong,Sheryl Crow,4mWc6pp9qeSoQEZ2jYd7a0,0.526,0.935,-2.9189999999999996,1,0.0483,0.0025399999999999997,0.0,0.17600000000000002,0.733,121.15100000000001,221054,4,8,0,,41,2019-08-30,110,80,1912160,3,"['4TKTii6gnOnUXQHyuo9JaD', '7crPfGd2k81ekOoSqQKWWz', '6WY7D3jk8zTrHtmkqqo5GI']",2,4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow
The Snow Is Falling,Fantasia,7GVBWoJyiIm2badTbdvf4E,0.377,0.597,-3.341,1,0.0523,0.518,0.0,0.078,0.243,71.385,175360,3,8,0,,13,2017-10-06,97,62,1264040,1,['7xAcVHPiirnUqfdqo0USb1'],10,7xAcVHPiirnUqfdqo0USb1,Fantasia
Santa Claus Go Straight To The Ghetto,Fantasia,3wA8rFEe3VvmNZtGS21EP7,0.695,0.8270000000000001,-2.812,1,0.10300000000000001,0.151,0.0,0.154,0.722,140.05100000000002,200640,4,10,0,,14,2017-10-06,97,62,1264040,1,['7xAcVHPiirnUqfdqo0USb1'],2,7xAcVHPiirnUqfdqo0USb1,Fantasia
Origin Of Love - Commentary,MIKA,25Z6ykihFxOOzqGXd47s6S,0.659,0.21,-18.665,0,0.9059999999999999,0.52,0.0,0.327,0.387,128.369,155120,5,9,0,,6,2012-01-01,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],9,5MmVJVhhYKQ86izuGHzJYA,MIKA
Make You Happy,MIKA,0NQ60OSELRkIn6KLPmPEcp,0.305,0.882,-4.984,0,0.0866,0.0056,0.00443,0.377,0.597,100.096,189160,3,8,0,,23,2012-01-01,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],0,5MmVJVhhYKQ86izuGHzJYA,MIKA
Tah Dah,MIKA,1AbIFq81HMitsCzsEpY3Dt,0.763,0.7879999999999999,-3.975,1,0.036000000000000004,0.111,1e-05,0.106,0.6729999999999999,99.994,170680,4,9,0,,16,2012-01-01,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],6,5MmVJVhhYKQ86izuGHzJYA,MIKA
Elle me dit,MIKA,3xUhchyBGEUNAwelO2yzqp,0.78,0.773,-3.685,1,0.0384,0.0471,0.00016,0.0938,0.461,125.99600000000001,218906,4,7,0,,52,2012-01-01,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],10,5MmVJVhhYKQ86izuGHzJYA,MIKA
Good Wife,MIKA,0y7DWsHZZ1BPafYOk7s0nh,0.612,0.747,-6.597,1,0.0447,0.0649,0.0,0.161,0.387,119.95,198613,4,10,0,,16,2015-11-13,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],5,5MmVJVhhYKQ86izuGHzJYA,MIKA
Oh Girl You’re The Devil,MIKA,1LX5jxxR6ZsM9wQx0fmjMs,0.758,0.865,-3.159,1,0.0453,0.225,2.58e-05,0.106,0.858,90.50299999999999,171786,4,9,0,,17,2015-11-13,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],8,5MmVJVhhYKQ86izuGHzJYA,MIKA
Hurts,MIKA,45z4EeFFxjhS4mGrvPjyoq,0.6,0.268,-11.995,1,0.0335,0.259,0.0,0.133,0.22,122.024,216813,4,8,0,,24,2015-11-13,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],5,5MmVJVhhYKQ86izuGHzJYA,MIKA
Last Party,MIKA,6QTLIi5JPLMyeUemSRadmS,0.594,0.315,-8.579,1,0.035,0.8190000000000001,0.0,0.109,0.198,124.43799999999999,219493,4,11,0,,26,2015-11-13,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],11,5MmVJVhhYKQ86izuGHzJYA,MIKA
Staring At The Sun,MIKA,5GfEP6jZmIJaAGBKbX1gWc,0.68,0.8690000000000001,-4.388999999999999,0,0.03,0.0273,5.26e-06,0.0638,0.705,130.02,216093,4,12,0,,37,2015-11-13,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],11,5MmVJVhhYKQ86izuGHzJYA,MIKA
No Place In Heaven,MIKA,4DpWRB4F2OUa2rOxSy0iEQ,0.606,0.614,-6.404,1,0.0369,0.318,0.0,0.0847,0.435,104.99,200413,4,8,0,,23,2015-11-13,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],5,5MmVJVhhYKQ86izuGHzJYA,MIKA
Good Guys,MIKA,2zWN4kR8srUVCAlnZYEIcD,0.586,0.496,-8.793,1,0.038,0.0364,0.0,0.0608,0.207,99.932,203720,4,11,0,,36,2015-11-13,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],10,5MmVJVhhYKQ86izuGHzJYA,MIKA
Talk About You,MIKA,5CIVgBByVITeUkejrVrDGu,0.6729999999999999,0.8320000000000001,-4.493,1,0.0279,0.0016300000000000002,1.77e-06,0.175,0.7040000000000001,119.98700000000001,202333,4,9,0,,26,2015-11-13,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],5,5MmVJVhhYKQ86izuGHzJYA,MIKA
All She Wants,MIKA,1YUCB1sXg3NKQpyZ6P0HO7,0.537,0.88,-2.95,1,0.0393,0.0578,1e-06,0.14800000000000002,0.902,170.07299999999998,219386,4,11,0,,19,2015-11-13,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],5,5MmVJVhhYKQ86izuGHzJYA,MIKA
Heroes,MIKA,3NA6nIRstx3k5nh1A9blKf,0.273,0.359,-12.328,1,0.0671,0.665,0.0004969999999999999,0.688,0.163,117.21700000000001,297973,4,11,0,,8,2015-11-13,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],9,5MmVJVhhYKQ86izuGHzJYA,MIKA
Ordinary Man,MIKA,6TT5uCGhBbf7iC5EkCICAb,0.27699999999999997,0.145,-16.785,1,0.036000000000000004,0.8540000000000001,0.0,0.809,0.19899999999999998,101.023,286706,3,15,0,,6,2015-11-13,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],5,5MmVJVhhYKQ86izuGHzJYA,MIKA
Tiny Love Reprise,MIKA,2g368uz99mKX14UhCLg6l7,0.153,0.36,-8.867,1,0.0338,0.419,0.000724,0.152,0.129,70.62899999999999,265586,4,9,0,,8,2019-10-18,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],2,5MmVJVhhYKQ86izuGHzJYA,MIKA
Blue,MIKA,3m6ejLzkB7DOqv0YE2nX7g,0.429,0.0736,-13.367,1,0.0495,0.927,2.38e-06,0.109,0.2,147.689,189853,3,8,0,,5,2019-10-18,8,71,1052565,1,['5MmVJVhhYKQ86izuGHzJYA'],8,5MmVJVhhYKQ86izuGHzJYA,MIKA
