name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key
Drinkin' Too Much,Sam Hunt,228kFdBgjLDmmdygT9Hxxo,0.359,0.39399999999999996,-9.971,1,0.0774,0.754,0.0,0.0964,0.132,176.799,232266,5,8,1.0,28.01.2017,52,03.04.2020,113,77,1963651,1,['2kucQ9jQwuD8jWdtR9Ef38'],1
If the Boot Fits,Granger Smith,1LZNdHSaGjV2S9q8BrZwnh,0.528,0.9279999999999999,-5.742999999999999,1,0.0456,0.0252,2.88e-06,0.0467,0.885,162.069,170093,4,9,1.0,28.01.2017,52,04.03.2016,17,67,275061,1,['4sTFGCigAQIUiEy8wSSQNF'],3
beibs in the trap,Travis Scott,0ESJlaM8CE1jRWaNtwSNj8,0.743,0.5710000000000001,-6.053999999999999,0,0.145,0.24,0.0,0.29100000000000004,0.495,119.054,213863,4,9,1.0,21.01.2017,72,16.09.2016,35,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY'],7
I Got You,Bebe Rexha,2jB9QaPJyVdz2Q0Va8rrnU,0.606,0.887,-4.782,0,0.052000000000000005,0.0498,3.47e-06,0.0958,0.349,97.97200000000001,191786,4,9,1.0,21.01.2017,63,22.06.2018,1,85,5726329,1,['64M6ah0SkkRsnPGtGiRAbb'],9
The Weekend,Brantley Gilbert,48tAdjG4ng2JfECa7OQujk,0.511,0.812,-4.763,0,0.0464,0.0496,1.64e-06,0.0829,0.6920000000000001,81.992,187760,4,8,1.0,21.01.2017,62,27.01.2017,110,72,2102798,1,['5q8HGNo0BjLWaTAhRtbwxa'],6
Water,Ugly God,7EoSDrwBPUBeBEORrpvgko,0.816,0.245,-15.617,0,0.414,0.616,0.000813,0.127,0.187,140.04,138936,4,7,1.0,21.01.2017,59,04.08.2017,1,62,1840761,1,['3Fdm9TFJQCLmC3AWMuGExi'],0
Moves,Big Sean,0Fv5N0cHBsl4bzCbollCAS,0.812,0.522,-5.287000000000001,1,0.257,0.0433,0.0,0.154,0.38,75.524,142906,4,7,1.0,14.01.2017,63,03.02.2017,21,87,7817299,1,['0c173mlxpT3dSFRgMO8XPh'],2
Seein' Red,Dustin Lynch,7pxhKtuTwofDIdgHx2DcVK,0.6509999999999999,0.8079999999999999,-4.731,0,0.0435,0.054000000000000006,0.0,0.0482,0.858,100.993,194893,4,8,1.0,14.01.2017,57,08.09.2017,55,70,1453926,1,['1dID9zgn0OV0Y8ud7Mh2tS'],1
Think a Little Less,Michael Ray,4JjIIBNoho0V2gZjH4nEzR,0.521,0.805,-4.481,1,0.0289,0.124,0.000219,0.33,0.527,141.967,176986,4,10,1.0,14.01.2017,58,07.08.2015,15,61,306207,1,['6ghiFYcwn2Vzl6K50U0UPz'],9
No Flockin',Kodak Black,34oWbFBfGEElvgO0a5c9V4,0.943,0.595,-8.372,0,0.191,0.0673,0.0,0.0839,0.815,117.53200000000001,165290,4,9,1.0,14.01.2017,70,13.11.2015,1,84,6320517,1,['46SHBwWsqBkxI7EeeBEQG7'],5
Way down We Go,KALEO,0y1QJc3SJVPKJ1OvFmFqe6,0.489,0.505,-8.022,0,0.11699999999999999,0.579,0.000333,0.10400000000000001,0.337,163.255,213706,4,8,1.0,14.01.2017,77,10.06.2016,1,74,1070658,1,['7jdFEYD2LTYjfwxOdlVjmc'],10
hate u love u,Olivia O'Brien,6ATgDc6e4sPn84hvJsAmPt,0.40700000000000003,0.41600000000000004,-8.915,0,0.174,0.6559999999999999,0.0,0.0981,0.24600000000000002,176.947,175466,4,8,1.0,14.01.2017,77,09.12.2016,1,78,1210186,1,['1QRj3hoop9Mv5VvHQkwPEp'],6
Feliz Navidad,José Feliciano,0oPdaY4dXtc3ZsaG17V972,0.513,0.831,-9.004,1,0.0383,0.55,0.0,0.336,0.963,148.83700000000002,182066,4,9,1.0,07.01.2017,61,24.09.2002,1,66,202198,1,['7K78lVZ8XzkjfRSI7570FF'],2
A Holly Jolly Christmas - Single Version,Burl Ives,65Q2mv3UlVi9eO70OpsmSe,0.6829999999999999,0.375,-13.056,1,0.0303,0.579,0.0,0.076,0.888,140.467,135533,4,7,1.0,07.01.2017,59,01.01.1965,1,58,46869,1,['0MHgLfmQdutffmvWe5XBTN'],0
It's the Most Wonderful Time of the Year,Andy Williams,5hslUAKq9I9CG2bAulFkHN,0.24,0.598,-8.435,1,0.0369,0.7659999999999999,0.0,0.11699999999999999,0.7759999999999999,201.62900000000002,151933,3,11,1.0,07.01.2017,71,24.11.1963,1,68,313564,1,['4sj6D0zlMOl25nprDJBiU9'],7
Last Christmas - Remastered,George Michael,6wn2nmFn3wDuiMldRiuRuL,0.757,0.618,-7.9639999999999995,0,0.0282,0.262,0.0,0.221,0.861,106.85600000000001,267160,4,13,1.0,07.01.2017,71,11.11.2006,1,73,1358495,1,['5lpH0xAS4fVfLkACg9DAuM'],11
OTW,DJ Luke Nasty,5qi7piHIt9zwTYYBnIvfNZ,0.743,0.6509999999999999,-5.974,1,0.0646,0.0143,0.0,0.079,0.467,82.022,219512,4,11,1.0,07.01.2017,50,13.05.2016,11,54,89089,1,['1yZwlOVsfrp4wb6d29KkGM'],6
Red Opps,21 Savage,3cqZH3cqvfbV8wVbvHyPbG,0.703,0.7090000000000001,-6.452000000000001,1,0.402,0.00908,0.0,0.127,0.569,140.998,163340,4,8,1.0,07.01.2017,60,15.05.2016,1,92,8636594,1,['1URnnhqYAYcrqrcwql10ft'],9
Swang,Rae Sremmurd,6mapJIPnQ23RTAevUoE0DL,0.6809999999999999,0.314,-9.318999999999999,1,0.0581,0.2,9.82e-06,0.1,0.166,139.99200000000002,208120,4,11,1.0,07.01.2017,72,12.08.2016,92,78,6115046,1,['7iZtZyCzp3LItcw1wtPI3D'],8
Deja Vu,J. Cole,6I6NX6tjGsxFAsIfGzY9lJ,0.657,0.42100000000000004,-11.378,1,0.41200000000000003,0.35200000000000004,0.000218,0.187,0.18100000000000002,174.063,264746,4,12,1.0,31.12.2016,69,09.12.2016,89,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5'],9
Immortal,J. Cole,6AGON2BGdPmPMJGiiNuuwl,0.7440000000000001,0.43,-10.604000000000001,0,0.309,0.455,2.73e-06,0.126,0.266,92.039,201666,4,10,1.0,31.12.2016,64,09.12.2016,89,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5'],3
Neighbors,J. Cole,0utlOiJy2weVl9WTkcEWHy,0.898,0.28300000000000003,-12.335,0,0.35600000000000004,0.319,0.000383,0.11,0.469,138.97,216520,4,10,1.0,31.12.2016,72,09.12.2016,89,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5'],6
Change,J. Cole,3pjUyVbFmM96tYhSaKJwTt,0.74,0.523,-10.753,0,0.233,0.6659999999999999,0.00142,0.0968,0.235,97.06299999999999,331480,4,13,1.0,31.12.2016,64,09.12.2016,89,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5'],11
She's Mine Pt. 1,J. Cole,0HtOJj7Kl74s1Ngf3MWeif,0.439,0.204,-15.165,1,0.0587,0.7659999999999999,0.0913,0.284,0.0408,139.65200000000002,209080,4,9,1.0,31.12.2016,63,09.12.2016,89,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5'],2
For Whom The Bell Tolls,J. Cole,3MWlVSkoLS1e66nlZ2tuWJ,0.595,0.41600000000000004,-10.957,0,0.0366,0.536,0.0,0.293,0.185,74.556,127880,4,6,1.0,31.12.2016,57,09.12.2016,89,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5'],10
Ville Mentality,J. Cole,2z3joGXrdGL2iEjIKQTiN1,0.87,0.386,-7.843,0,0.0684,0.745,0.00013,0.122,0.642,119.91,194346,3,12,1.0,31.12.2016,62,09.12.2016,89,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5'],7
4 Your Eyez Only,J. Cole,1vvnYpYEMVB4aq9I6tHIEB,0.701,0.485,-10.305,0,0.364,0.36700000000000005,6.31e-05,0.0852,0.496,78.863,530253,4,20,1.0,31.12.2016,64,09.12.2016,89,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5'],11
Foldin Clothes,J. Cole,77IAeEz8LEchPN8UNjaTJ2,0.698,0.48700000000000004,-9.887,0,0.312,0.23399999999999999,0.00086,0.0724,0.614,161.94299999999998,316920,4,14,1.0,31.12.2016,57,09.12.2016,89,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5'],7
everybody dies,J. Cole,1wIQtB3UQ1TfjNMZZqO6eh,0.779,0.6940000000000001,-9.376,1,0.2,0.281,1.36e-05,0.109,0.569,82.861,161826,4,6,1.0,31.12.2016,60,06.12.2016,89,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5'],9
Darlin' Don't Go,Sundance Head,7lOkmIpzOEOufmOQbLlaHW,0.6829999999999999,0.324,-9.735,1,0.0331,0.20199999999999999,0.000132,0.11,0.324,117.74600000000001,263013,3,12,1.0,31.12.2016,31,25.04.2015,1,33,9719,1,['3HgDVnEnlN20dfe1vvaBXH'],4
At Last - The Voice Performance,Sundance Head,6FDqlXpko4R2CW2id2IK2T,0.254,0.531,-5.629,1,0.0326,0.233,0.0,0.11900000000000001,0.375,101.617,207853,3,9,1.0,31.12.2016,19,14.12.2016,1,33,9719,1,['3HgDVnEnlN20dfe1vvaBXH'],2
False Prophets,J. Cole,0eneujAc4PxkdjP25Gsue1,0.7290000000000001,0.7390000000000001,-9.5,0,0.33799999999999997,0.696,9.37e-06,0.16399999999999998,0.7490000000000001,90.306,237426,4,11,1.0,24.12.2016,59,06.12.2016,88,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5'],8
Dirt On My Boots,Jon Pardi,7f08qp3HROTkfrtNpiYGGo,0.6829999999999999,0.7959999999999999,-4.178999999999999,1,0.0285,0.111,0.0,0.19699999999999998,0.531,90.031,201893,4,8,1.0,24.12.2016,71,13.05.2016,38,76,1105252,1,['4MoAOfV4ROWofLG3a3hhBN'],11
Reminder,The Weeknd,37F0uwRSrdzkBiuj0D5UHI,0.706,0.505,-6.922999999999999,1,0.193,0.142,0.0,0.16399999999999998,0.38799999999999996,160.053,218880,4,11,1.0,17.12.2016,72,25.11.2016,176,96,25362926,1,['1Xyo4u8uXC1ZmMpatF05PJ'],8
Six Feet Under,The Weeknd,4mU5iXHeLgbR94siF7p1sY,0.772,0.504,-8.219,0,0.0761,0.129,0.0,0.125,0.244,140.035,237573,4,11,1.0,17.12.2016,68,25.11.2016,176,96,25362926,1,['1Xyo4u8uXC1ZmMpatF05PJ'],6
Die For You,The Weeknd,2Ch7LmS7r2Gy2kc64wv3Bz,0.5820000000000001,0.525,-7.162999999999999,0,0.0627,0.111,0.0,0.134,0.51,133.249,260253,4,8,1.0,17.12.2016,77,25.11.2016,176,96,25362926,1,['1Xyo4u8uXC1ZmMpatF05PJ'],1
Rockin’,The Weeknd,36YCdzT57us0LhDmCYtrNE,0.738,0.885,-5.547000000000001,0,0.20600000000000002,0.0133,0.0,0.0821,0.752,112.87799999999999,232880,4,11,1.0,17.12.2016,67,25.11.2016,176,96,25362926,1,['1Xyo4u8uXC1ZmMpatF05PJ'],9
Secrets,The Weeknd,00NAQYOP4AmWR549nnYJZu,0.664,0.7709999999999999,-5.779,1,0.0533,0.0155,9.6e-06,0.46,0.763,109.945,265600,4,7,1.0,17.12.2016,70,25.11.2016,176,96,25362926,1,['1Xyo4u8uXC1ZmMpatF05PJ'],0
True Colors,The Weeknd,1oGdVdYjeQvojGKDddxLQQ,0.624,0.424,-8.237,1,0.24,0.28600000000000003,0.0,0.17300000000000001,0.584,76.671,206013,4,6,1.0,17.12.2016,68,25.11.2016,176,96,25362926,1,['1Xyo4u8uXC1ZmMpatF05PJ'],1
Attention,The Weeknd,6pDVjCUA3B1vg9waKutAsv,0.6709999999999999,0.428,-7.0520000000000005,0,0.124,0.688,0.000182,0.11900000000000001,0.36200000000000004,148.04,197653,4,8,1.0,17.12.2016,65,25.11.2016,176,96,25362926,1,['1Xyo4u8uXC1ZmMpatF05PJ'],4
Nothing Without You,The Weeknd,57qiTKh8bVX0VtfUNTQqhw,0.575,0.634,-8.1,1,0.068,0.0646,0.0,0.0878,0.191,109.825,198653,4,10,1.0,17.12.2016,65,25.11.2016,176,96,25362926,1,['1Xyo4u8uXC1ZmMpatF05PJ'],1
A Lonely Night,The Weeknd,0ifooM33X1iBxVYyOkSbXW,0.853,0.6629999999999999,-6.955,0,0.0755,0.0431,8.71e-06,0.0891,0.8640000000000001,113.99799999999999,220173,4,9,1.0,17.12.2016,67,25.11.2016,176,96,25362926,1,['1Xyo4u8uXC1ZmMpatF05PJ'],7
Love To Lay,The Weeknd,27BgDmciSjoxTG0almHTpZ,0.711,0.807,-5.052,0,0.0608,0.052000000000000005,0.0,0.214,0.698,116.971,223293,4,8,1.0,17.12.2016,64,25.11.2016,176,96,25362926,1,['1Xyo4u8uXC1ZmMpatF05PJ'],7
Ordinary Life,The Weeknd,15k2nBQJ0teDmPZHrOXL2N,0.537,0.5870000000000001,-7.486000000000001,0,0.0771,0.0275,0.0,0.0961,0.365,149.748,221920,4,12,1.0,17.12.2016,65,25.11.2016,176,96,25362926,1,['1Xyo4u8uXC1ZmMpatF05PJ'],7
Distraction,Kehlani,2wSQyp6VzUopSFBinRo1iD,0.66,0.698,-6.266,0,0.0467,0.0266,0.0,0.29600000000000004,0.396,120.959,235693,4,9,1.0,17.12.2016,61,27.01.2017,18,83,4008120,1,['0cGUm45nv7Z6M6qdXYQGTX'],5
Party Monster,The Weeknd,4F7A0DXBrmUAkp32uenhZt,0.573,0.63,-8.389,1,0.105,0.18899999999999997,2.31e-05,0.259,0.218,77.525,249213,4,10,1.0,10.12.2016,72,25.11.2016,175,96,25362926,1,['1Xyo4u8uXC1ZmMpatF05PJ'],1
Love on the Weekend,John Mayer,0oiCeOPwm4zhwfyIpAE37y,0.718,0.583,-7.8839999999999995,1,0.0288,0.623,0.000662,0.0612,0.42200000000000004,119.97,212320,4,12,1.0,10.12.2016,66,14.04.2017,231,84,4760870,1,['0hEurMDQu99nJRq8pTxO14'],7
That's My Girl,Fifth Harmony,2ACOWPLUe4A4KuQ5ioD2od,0.596,0.851,-4.245,0,0.121,0.0358,3.19e-05,0.365,0.612,202.049,204013,4,11,1.0,10.12.2016,71,27.05.2016,42,76,11538941,1,['1l8Fu6IkuTP0U5QetQJ5Xt'],5
Redbone,Childish Gambino,0wXuerDYiBnERgIpbb3JBR,0.743,0.34700000000000003,-11.174000000000001,1,0.121,0.16699999999999998,0.00951,0.10300000000000001,0.5720000000000001,160.143,326933,4,15,1.0,10.12.2016,81,02.12.2016,23,82,7050125,1,['73sIBHcqh3Z3NyqHKZ7FOL'],1
That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,-4.961,1,0.0406,0.013000000000000001,0.0,0.0944,0.86,134.066,206693,4,8,1.0,10.12.2016,80,17.11.2016,280,90,27253531,1,['0du5cEVh5yTK9QJze8zA0C'],1
Play That Song,Train,77hjM9bMmgfTGJXv14UFmi,0.392,0.825,-2.068,0,0.0535,0.0231,2.25e-06,0.0972,0.48200000000000004,98.959,243253,4,10,1.0,10.12.2016,68,27.01.2017,209,78,3460180,1,['3FUY2gzHeIiaesXtOAdB7A'],0
Infinite,Eminem,01xhMrdCefADl7HSttJaf7,0.637,0.862,-4.343,0,0.191,0.293,0.0,0.217,0.573,82.01899999999999,251707,4,6,1.0,10.12.2016,55,12.11.1996,262,94,38899488,1,['7dGJo4pcD2V6oG8kP0tJRR'],10
Versace on the Floor,Bruno Mars,0kN8xEmgMW9mh7UmDYHlJP,0.578,0.574,-6.209,1,0.0454,0.196,0.0,0.083,0.301,174.15200000000002,261240,4,13,1.0,10.12.2016,73,17.11.2016,280,90,27253531,1,['0du5cEVh5yTK9QJze8zA0C'],2
Parachute,Chris Stapleton,5jROdl6MhcmP3O7h2sVgtw,0.642,0.762,-7.4110000000000005,1,0.0296,0.00967,5.72e-05,0.182,0.605,113.038,253200,4,11,1.0,10.12.2016,70,04.05.2015,22,79,2684858,1,['4YLtscXsxbVgi031ovDDdh'],6
Hallelujah,Leonard Cohen,7yzbimr8WVyAtBX3Eg6UL9,0.28,0.344,-12.577,1,0.0293,0.715,0.00642,0.133,0.23199999999999998,171.143,277160,3,9,1.0,03.12.2016,67,11.12.1984,1,72,2081622,1,['5l8VQNuIg0turYE1VtM9zV'],0
Me and Your Mama,Childish Gambino,31tf1qEai5o5f4r66Kd0pU,0.534,0.433,-12.628,1,0.0357,0.0116,0.0452,0.0667,0.235,117.834,379226,3,14,1.0,03.12.2016,65,02.12.2016,22,82,7050125,1,['73sIBHcqh3Z3NyqHKZ7FOL'],5
We The People....,A Tribe Called Quest,3wUX7HpXS382s1DHTRouVk,0.71,0.805,-5.471,1,0.0637,0.00909,0.0,0.141,0.897,92.601,172013,4,9,1.0,03.12.2016,56,11.11.2016,1,71,1311623,1,['09hVIj6vWgoCDtT03h8ZCa'],1
A Guy with a Girl,Blake Shelton,5sjIhQzNljMVrDklI91ezp,0.552,0.893,-4.593,1,0.0383,0.0158,0.0,0.105,0.777,163.94799999999998,189466,4,10,1.0,03.12.2016,63,20.05.2016,373,78,5367026,1,['1UTPBmNbXNTittyMJrNkvw'],0
Call on Me - Ryan Riback Remix,Starley,2L6orAlH8tBhiFTumIfMyF,0.67,0.838,-4.031000000000001,1,0.0362,0.0604,0.000611,0.159,0.7170000000000001,104.99799999999999,222040,4,9,1.0,03.12.2016,64,18.10.2016,1,64,122470,2,"['02A3cEvlLLCbIMVDrK2GHV', '33JQK4UoS2aMPYBfdB5Ftt']",0
Bounce Back,Big Sean,0SGkqnVQo9KPytSri1H6cF,0.78,0.575,-5.627999999999999,0,0.139,0.106,0.0,0.129,0.273,81.502,222360,4,8,1.0,26.11.2016,73,03.02.2017,14,87,7817299,1,['0c173mlxpT3dSFRgMO8XPh'],1
Selfish,PnB Rock,2xbI8Vmyv3TkpTdywpPyNw,0.638,0.6,-5.84,0,0.0438,0.114,0.0,0.187,0.0399,101.98100000000001,245604,4,14,1.0,26.11.2016,74,13.01.2017,1,80,2736983,1,['21WS9wngs9AqFckK7yYJPM'],1
Better Man,Little Big Town,23TxRN09aR1RB0G0tFoT0b,0.514,0.836,-3.6630000000000003,1,0.0381,0.11199999999999999,0.0,0.0878,0.501,143.888,263120,4,12,1.0,19.11.2016,66,24.02.2017,142,70,1927631,1,['3CygdxquGHurS7f9LjNLkv'],5
"Two Birds, One Stone",Drake,3m62bJJXGyQKdR9XyRocnl,0.529,0.838,-2.6189999999999998,1,0.212,0.337,0.0,0.127,0.355,88.052,238960,4,9,1.0,19.11.2016,49,28.10.2016,411,100,50451953,1,['3TVXtAsR1Inumwj472S9r4'],8
On the Regular,Meek Mill,0bLwBXrMd3z96utPHeuQDK,0.7809999999999999,0.764,-3.252,1,0.16399999999999998,0.0175,0.0,0.102,0.35200000000000004,146.03,184109,4,8,1.0,19.11.2016,49,28.10.2016,4,83,4516470,1,['20sxb77xiYeusSH8cVdatc'],2
Star Of The Show,Thomas Rhett,63OQWdXMq0Pe6pRpWY5gO0,0.695,0.6409999999999999,-5.807,1,0.0261,0.142,0.0,0.131,0.664,101.97399999999999,181200,4,8,1.0,19.11.2016,56,28.10.2016,137,80,3585439,1,['6x2LnllRG5uGarZMsD4iO8'],7
Blue Notes,Meek Mill,7Gs3otHnZDq514kFHf0nx7,0.515,0.431,-8.251,1,0.257,0.665,0.0,0.147,0.184,141.392,227808,4,12,1.0,19.11.2016,64,28.10.2016,4,83,4516470,1,['20sxb77xiYeusSH8cVdatc'],4
Blessed Up,Meek Mill,7lidCG4c4lX6hIRXt0MKVA,0.647,0.59,-9.931000000000001,1,0.247,0.0609,0.0,0.381,0.415,92.275,201254,4,7,1.0,19.11.2016,45,28.10.2016,4,83,4516470,1,['20sxb77xiYeusSH8cVdatc'],6
Fake Love,Drake,343YBumqHu19cGoGARUTsd,0.9279999999999999,0.48100000000000004,-9.35,0,0.287,0.105,0.0,0.17600000000000002,0.613,134.007,210937,4,12,1.0,12.11.2016,74,18.03.2017,410,100,50451953,1,['3TVXtAsR1Inumwj472S9r4'],9
Hallelujah,Pentatonix,0HZk0QsXPhMNAWNDR3rYE8,0.364,0.37799999999999995,-7.381,0,0.0331,0.47,0.0,0.33899999999999997,0.366,89.91799999999999,268960,3,15,1.0,12.11.2016,63,06.12.2017,10,75,2780272,1,['26AHtbjWKiwYzsoGoUZq53'],7
You And I,Lady Gaga,6rkAY9rk1NTFB94QxG3LJR,0.518,0.7090000000000001,-5.234,1,0.0476,0.075,0.0,0.0935,0.514,127.083,307346,4,15,1.0,12.11.2016,59,01.01.2011,260,91,14316393,1,['1HY2Jd0NmPuamShAr6KMms'],2
Shout Out to My Ex,Little Mix,0ErK6K0kYr0Ow2RkPMhmMs,0.773,0.747,-4.061,1,0.0885,0.0242,8.99e-06,0.109,0.8009999999999999,126.014,246240,4,12,1.0,12.11.2016,78,18.11.2016,18,85,8110917,1,['3e7awlrlDSwF3iM0WBjGMp'],5
What They Want,Russ,3pndPhlQWjuSoXhcIIdBjv,0.71,0.40399999999999997,-10.04,0,0.379,0.484,0.0,0.0953,0.39799999999999996,139.553,165853,4,10,1.0,12.11.2016,77,05.05.2017,1,83,3712248,1,['1z7b1Pr1rSlvWRzsW3HOrS'],1
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,0.358,0.557,-7.398,1,0.059000000000000004,0.695,0.0,0.0902,0.494,85.04299999999999,211466,4,8,1.0,12.11.2016,85,28.10.2016,1,87,6798262,1,['4IWBUUAFIplrNtaOHcJPRM'],10
Blow Your Mind (Mwah),Dua Lipa,7kJlTKjNZVT26iwiDUVhRm,0.654,0.7959999999999999,-4.761,0,0.122,0.0188,0.0,0.0948,0.491,108.854,178583,4,9,1.0,05.11.2016,69,26.08.2016,1,93,20398964,1,['6M2wZ9GZgrQXHCFfjv46we'],2
Dirty Laundry,Carrie Underwood,5qRRiqndqXaq2QBudIrkYU,0.456,0.8740000000000001,-4.129,0,0.114,0.0595,1.12e-05,0.111,0.5,200.179,204093,4,8,1.0,05.11.2016,56,23.10.2015,450,75,4209673,1,['4xFUf1FHVy696Q1JQZMTRj'],10
Alone,Marshmello,3MEYFivt6bilQ9q9mFWZ4g,0.631,0.953,-3.739,1,0.0343,0.0241,0.0155,0.10800000000000001,0.42200000000000004,141.99,273802,4,16,1.0,05.11.2016,75,13.05.2016,1,91,27525793,1,['64KEffDW9EtZ1y2vBYgq8T'],2
80s Mercedes,Maren Morris,58spuRyMUsjKHQHEGwLC99,0.485,0.8340000000000001,-5.412999999999999,1,0.0715,0.0665,0.0,0.28,0.659,90.93299999999999,211767,4,12,1.0,05.11.2016,62,17.03.2017,21,80,524569,1,['6WY7D3jk8zTrHtmkqqo5GI'],9
How I'll Always Be,Tim McGraw,2ZekuYUoEIBrUwHOY0gcgB,0.578,0.825,-4.6930000000000005,1,0.0331,0.312,1.4e-05,0.0912,0.654,93.035,213453,4,13,1.0,05.11.2016,51,01.01.2015,438,77,3345088,1,['6roFdX1y5BYSbp60OTJWMd'],2
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,0.818,0.8029999999999999,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,225983,4,9,1.0,29.10.2016,77,17.11.2016,274,90,27253531,1,['0du5cEVh5yTK9QJze8zA0C'],1
Love Me Now,John Legend,6nxQdXa1uAL0rY72wPZu89,0.488,0.762,-3.842,1,0.0865,0.591,0.0,0.0763,0.7090000000000001,123.889,210293,4,12,1.0,29.10.2016,66,02.12.2016,101,84,5270803,1,['5y2Xq6xcjJb2jVM54GHK3t'],8
Today,Brad Paisley,1IO13V09b01gLSbmZJZ9dM,0.34700000000000003,0.632,-6.997999999999999,1,0.0381,0.539,0.00226,0.121,0.285,74.257,229338,3,8,1.0,29.10.2016,52,21.04.2017,413,71,1885103,1,['13YmWQJFwgZrd4bf5IjMY4'],2
PPAP(Pen-Pineapple-Apple-Pen) - Long ver.,PIKOTARO,5qRj5I58zuHkVilcqVWN3P,0.892,0.527,-5.598,1,0.0631,0.036000000000000004,0.112,0.0612,0.485,136.029,122933,4,6,1.0,29.10.2016,47,13.07.2018,1,40,12666,1,['37GBT1Lhfc2sgq4jZIt6n2'],1
All Time Low,Jon Bellion,0SuLAslEMFZAXf0SwY7syi,0.617,0.5670000000000001,-4.188,1,0.0828,0.0584,0.0,0.0933,0.505,90.24600000000001,217603,4,8,1.0,29.10.2016,70,10.06.2016,1,76,1137635,1,['50JJSqHUf2RQ9xsHs0KMHg'],0
Kids,OneRepublic,5mQNY6pTeSDl2doFB7uLbE,0.596,0.732,-6.189,1,0.0401,0.0153,0.0,0.318,0.228,99.98,238386,4,9,1.0,29.10.2016,61,02.12.2016,275,86,10861273,1,['5Pwc4xIPtQLFEnJriah9YJ'],2
False Alarm,The Weeknd,4oeaIftdpT3JuZLcCkKmVE,0.517,0.677,-6.372999999999999,0,0.0746,0.0324,3.37e-05,0.18899999999999997,0.192,173.97799999999998,220306,4,11,1.0,22.10.2016,69,25.11.2016,173,96,25362926,1,['1Xyo4u8uXC1ZmMpatF05PJ'],8
Cranes in the Sky,Solange,48EjSdYh8wz2gBxxqzrsLe,0.7190000000000001,0.615,-5.972,1,0.045,0.408,0.000147,0.235,0.465,96.988,250973,4,5,1.0,22.10.2016,65,30.09.2016,1,68,1220780,1,['2auiVi8sUZo17dLy1HwrTU'],6
LIFTED,CL,2DHWM8Bm4zuzuH7UOXscJw,0.369,0.7020000000000001,-4.155,1,0.154,0.00148,0.0,0.217,0.285,180.947,175401,4,10,1.0,22.10.2016,52,19.08.2016,1,62,614821,1,['0tzSBCPJZmHTdOA3ZV2mN3'],0
Fresh Eyes,Andy Grammer,5NDUXbMwcnTQp66tI2zcdR,0.828,0.56,-6.685,1,0.0327,0.5479999999999999,3.66e-05,0.15,0.872,122.054,198001,4,12,1.0,22.10.2016,67,01.12.2017,72,78,851447,1,['2oX42qP5ineK3hrhBECLmj'],0
Wanna Be That Song,Brett Eldredge,1XazlqB4YAtvouCmJPWXlM,0.518,0.6859999999999999,-4.9110000000000005,1,0.0313,0.114,0.0,0.114,0.33399999999999996,144.065,236226,4,7,1.0,22.10.2016,61,11.09.2015,76,69,1195034,1,['0qSX3s5pJnAlSsgsCne8Cz'],9
This Town,Niall Horan,0qvzXomUDJVaUboy2wMfiS,0.677,0.401,-8.467,1,0.0308,0.7120000000000001,0.0,0.11599999999999999,0.195,111.825,232852,4,10,1.0,15.10.2016,76,20.10.2017,1,83,6133350,1,['1Hsdzj7Dlq2I7tHP7501T4'],9
HandClap,Fitz and The Tantrums,4qRaZYiaOsSvWC7VgcxrI0,0.636,0.836,-3.0039999999999996,1,0.0427,0.00609,0.000157,0.0828,0.715,139.95600000000002,193253,4,11,1.0,15.10.2016,65,24.07.2017,1,71,623493,1,['4AcHt3JxKy59IX7JNNlZn4'],8
Song for Another Time,Old Dominion,7px4t7HGiuMUvFkEOpZEwp,0.498,0.804,-3.995,1,0.0332,0.125,0.0,0.16699999999999998,0.6970000000000001,166.054,191826,4,8,1.0,15.10.2016,62,06.11.2015,41,73,874015,1,['6y8XlgIV8BLlIg1tT1R10i'],11
