name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key
Put Your Records On,Ritt Momney,6AGOKlMZWLCaEJGnaROtF9,0.39899999999999997,0.491,-10.777999999999999,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,210463,4,9,1.0,10.10.2020,92,24.04.2020,1,80,58709,1,['7MPGCB854Qo4alYMOPkBka'],6
Money Over Fallouts,Tory Lanez,6wxQ60q4I3qWNjwBgftVN0,0.568,0.665,-7.356,1,0.40399999999999997,0.03,0.0,0.205,0.444,124.741,282106,5,13,1.0,10.10.2020,65,25.09.2020,49,88,3295231,1,['2jku7tDXc6XoB6MO2hFuqg'],8
Diamonds,Sam Smith,5hvwx5i67IwnCkjl9VHkNv,0.653,0.667,-6.763999999999999,0,0.0423,0.154,0.0,0.107,0.556,104.181,213869,4,9,1.0,03.10.2020,87,17.09.2020,168,91,14223568,1,['2wY79sveU1sp5g7SokKOiI'],10
Wet (She Got That…),YFN Lucci,4GurWpxvH3NoWz9f9wirPq,0.695,0.642,-6.13,0,0.195,0.23800000000000002,0.0,0.359,0.316,128.029,209848,4,9,1.0,03.10.2020,77,14.02.2020,1,71,1620377,1,['5Berubt6ysOy2LCMyqhmXP'],1
OK Not To Be OK - Duke & Jones Remix,Marshmello,3qRBN8te6leaLPLXQ7ML9A,0.77,0.636,-5.787000000000001,0,0.0609,0.0811,1.87e-06,0.111,0.38299999999999995,122.072,154426,4,8,1.0,26.09.2020,67,02.10.2020,12,91,45838075,3,"['64KEffDW9EtZ1y2vBYgq8T', '6S2OmqARrzebs0tKUEyXyp', '3jNm5wvIx1eR5NDdXhMkNV']",1
Drug Addiction,YoungBoy Never Broke Again,1jWHtG4UXwH7JkEGY559Pa,0.8190000000000001,0.738,-5.159,0,0.18600000000000003,0.47,0.0,0.11699999999999999,0.6759999999999999,139.957,164649,4,7,1.0,26.09.2020,72,11.09.2020,107,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b'],1
Gone Too Soon,Andrew Jannakos,7mDZ2NdYOeKFcz2zGnKBwU,0.529,0.723,-6.022,0,0.035,0.0175,0.0,0.364,0.45899999999999996,119.94200000000001,169254,4,8,1.0,26.09.2020,69,15.09.2020,1,59,57233,1,['6DAX5iORnv8nsZYYeZqket'],4
Dead Trollz,YoungBoy Never Broke Again,6sk8haR99TFmwp9S5U7fac,0.524,0.8320000000000001,-4.351,1,0.47100000000000003,0.0508,0.0,0.632,0.7609999999999999,111.14200000000001,209528,5,11,1.0,26.09.2020,68,11.09.2020,107,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b'],6
Cross Roads,YoungBoy Never Broke Again,16oNc3gAxjqO7ifVoEYqCR,0.7140000000000001,0.722,-5.685,1,0.0538,0.0735,0.0,0.114,0.439,143.019,168045,4,7,1.0,26.09.2020,67,11.09.2020,107,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b'],0
The Last Backyard...,YoungBoy Never Broke Again,17BBRv0iYOVlcbMjJUSfBO,0.5920000000000001,0.691,-6.325,1,0.204,0.355,0.0,0.217,0.815,159.708,156130,4,10,1.0,26.09.2020,67,11.09.2020,107,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b'],6
Right Foot Creep,YoungBoy Never Broke Again,6FiySur7YZL0Kff2YVGsEB,0.725,0.79,-4.773,0,0.327,0.34600000000000003,0.0,0.195,0.815,157.99,159085,4,5,1.0,26.09.2020,66,11.09.2020,107,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b'],3
You Got It,Vedo,4lsHZ92XCFOQfzJFBTluk8,0.774,0.376,-9.372,1,0.20800000000000002,0.297,0.0,0.165,0.391,122.089,201586,4,10,1.0,26.09.2020,86,27.03.2020,1,77,174008,1,['3wVXTWabe3viT0jF7DfjOL'],5
