,acousticness,artist,chart_date,danceability,energy,instrumentalness,length,liveness,loudness,mode,name,popularity,release_date,song_id,speechiness,target,tempo,time_signature,valence,weeks,duration_ms,sections,artist_popularity,artist_followers,number_of_artists,list_of_artists
9,0.03,Tory Lanez,2020-10-10,0.568,0.665,0.0,282106,0.205,-7.356,1,Money Over Fallouts,65,2020-09-25,6wxQ60q4I3qWNjwBgftVN0,0.404,1.0,124.741,5,0.444,49,282106,13,88,3295231,1,['2jku7tDXc6XoB6MO2hFuqg']
0,0.154,Sam Smith,2020-10-03,0.653,0.667,0.0,213869,0.107,-6.764,0,Diamonds,87,2020-09-17,5hvwx5i67IwnCkjl9VHkNv,0.0423,1.0,104.181,4,0.556,168,213869,9,91,14223568,1,['2wY79sveU1sp5g7SokKOiI']
1,0.238,YFN Lucci,2020-10-03,0.695,0.642,0.0,209848,0.359,-6.13,0,Wet (She Got That…),77,2020-02-14,4GurWpxvH3NoWz9f9wirPq,0.195,1.0,128.029,4,0.316,1,209848,9,71,1620377,1,['5Berubt6ysOy2LCMyqhmXP']
0,0.0811,Marshmello,2020-09-26,0.77,0.636,1.87e-06,154426,0.111,-5.787,0,OK Not To Be OK - Duke & Jones Remix,67,2020-10-02,3qRBN8te6leaLPLXQ7ML9A,0.0609,1.0,122.072,4,0.383,12,154426,8,91,45838075,3,"['64KEffDW9EtZ1y2vBYgq8T', '6S2OmqARrzebs0tKUEyXyp', '3jNm5wvIx1eR5NDdXhMkNV']"
1,0.47,YoungBoy Never Broke Again,2020-09-26,0.819,0.738,0.0,164649,0.117,-5.159,0,Drug Addiction,72,2020-09-11,1jWHtG4UXwH7JkEGY559Pa,0.186,1.0,139.957,4,0.676,107,164649,7,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b']
2,0.0175,Andrew Jannakos,2020-09-26,0.529,0.723,0.0,169254,0.364,-6.022,0,Gone Too Soon,69,2020-09-15,7mDZ2NdYOeKFcz2zGnKBwU,0.035,1.0,119.942,4,0.459,1,169254,8,59,57233,1,['6DAX5iORnv8nsZYYeZqket']
3,0.0508,YoungBoy Never Broke Again,2020-09-26,0.524,0.832,0.0,209528,0.632,-4.351,1,Dead Trollz,68,2020-09-11,6sk8haR99TFmwp9S5U7fac,0.471,1.0,111.142,5,0.761,107,209528,11,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b']
4,0.0735,YoungBoy Never Broke Again,2020-09-26,0.714,0.722,0.0,168045,0.114,-5.685,1,Cross Roads,67,2020-09-11,16oNc3gAxjqO7ifVoEYqCR,0.0538,1.0,143.019,4,0.439,107,168045,7,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b']
5,0.355,YoungBoy Never Broke Again,2020-09-26,0.592,0.691,0.0,156130,0.217,-6.325,1,The Last Backyard...,67,2020-09-11,17BBRv0iYOVlcbMjJUSfBO,0.204,1.0,159.708,4,0.815,107,156130,10,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b']
6,0.346,YoungBoy Never Broke Again,2020-09-26,0.725,0.79,0.0,159085,0.195,-4.773,0,Right Foot Creep,66,2020-09-11,6FiySur7YZL0Kff2YVGsEB,0.327,1.0,157.99,4,0.815,107,159085,5,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b']
7,0.297,Vedo,2020-09-26,0.774,0.376,0.0,201586,0.165,-9.372,1,You Got It,86,2020-03-27,4lsHZ92XCFOQfzJFBTluk8,0.208,1.0,122.089,4,0.391,1,201586,10,77,174008,1,['3wVXTWabe3viT0jF7DfjOL']
