,acousticness,artist,chart_date,danceability,energy,instrumentalness,length,liveness,loudness,mode,name,popularity,release_date,song_id,speechiness,target,tempo,time_signature,valence,weeks,duration_ms,sections,artist_popularity,artist_followers,number_of_artists,list_of_artists
8,0.0651,Chris Young,2018-09-15,0.434,0.831,0.0,185440,0.119,-4.774,1,Hangin' On,61,2017-10-20,6CyJlVAEFlNdpggOLanytL,0.0453,1.0,156.034,4,0.596,195,185440,6,71,2000516,1,['4BYxqVkZyFjtik7crYLg5Q']
0,0.212,Ozuna,2018-09-08,0.653,0.859,0.0,218386,0.111,-3.048,1,Unica,67,2018-08-24,33b2wX9d0kxqxhi7lcsC1A,0.0449,1.0,174.038,4,0.706,1,218386,12,96,24906975,1,['1i8SpTcr7yvPOmcqrbnVXY']
1,0.194,Sheck Wes,2018-09-08,0.729,0.625,0.00986,183906,0.248,-5.266,1,Mo Bamba,78,2018-10-05,1xzBco0xcoJEDXktl7Jxrr,0.0315,1.0,146.034,4,0.261,1,183906,11,71,973454,1,['2RDOrhPqAM4jzTRCEb19qX']
2,0.794,Chris Janson,2018-09-08,0.485,0.306,0.0,207266,0.122,-8.431,1,Drunk Girl,63,2017-09-22,1kFBLqkTuNKlspkJ1EOGjN,0.0409,1.0,203.729,4,0.224,35,207266,11,66,207874,1,['60gmlHZmT16wiO9GiXKYK9']
3,0.314,Charlie Puth,2018-09-08,0.755,0.769,2.38e-06,186080,0.0628,-5.658,0,The Way I Am,65,2018-05-11,6qNALlmZa1ESnCxJmXE1K9,0.186,1.0,114.966,4,0.642,91,186080,7,84,11653370,1,['6VuMaDnrHyPL1p4EHjYLi7']
4,0.153,Zedd,2018-09-08,0.799,0.52,0.000626,192222,0.268,-5.044,1,Happy Now - Duke & Jones Remix,22,2018-09-21,7ir8cXuMAfXx9BCYkvYCz0,0.17,1.0,161.968,4,0.334,1,192222,11,83,5342816,3,"['2qxJFvFYMEDqd7ui6kSAcq', '67MNhiAICFY6Pwc2YxCO0K', '3jNm5wvIx1eR5NDdXhMkNV']"
0,0.0211,Ariana Grande,2018-09-01,0.568,0.656,1.37e-05,198160,0.213,-5.413,1,breathin,76,2018-08-17,4OafepJy2teCjYJbvFE60J,0.0433,1.0,100.049,4,0.364,111,198160,9,98,52248260,1,['66CXWjxzNUsdJxJ2JdwvnR']
1,0.248,Ariana Grande,2018-09-01,0.721,0.459,0.0,208493,0.212,-6.408,1,sweetener,69,2018-08-17,70khXICDeTTxgYtw3EysKH,0.032,1.0,119.914,4,0.46,111,208493,10,98,52248260,1,['66CXWjxzNUsdJxJ2JdwvnR']
2,0.186,Ariana Grande,2018-09-01,0.71,0.614,0.0,172106,0.0974,-6.757,0,everytime,70,2018-08-17,0WdR2AyLW1Drd3OUdwezM0,0.0431,1.0,148.152,4,0.658,111,172106,9,98,52248260,1,['66CXWjxzNUsdJxJ2JdwvnR']
3,0.00187,Calvin Harris,2018-09-01,0.716,0.775,0.731,282039,0.0517,-5.592,1,Promises (with Sam Smith) - Illyus & Barrientos Remix,26,2018-10-19,43P4CvRCS6HmVERmYfM8ma,0.0659,1.0,123.026,4,0.631,63,282039,9,91,35031292,3,"['7CajNmpbOovFoOoasH2HaY', '2wY79sveU1sp5g7SokKOiI', '6n5ccknvteaKfN4WA2qf3C']"
4,0.375,Ariana Grande,2018-09-01,0.831,0.485,1.47e-05,245666,0.118,-6.677,0,R.E.M,69,2018-08-17,1xWH8zYtDeS9mW1JJG23VZ,0.15,1.0,80.022,4,0.622,111,245666,11,98,52248260,1,['66CXWjxzNUsdJxJ2JdwvnR']
5,0.0183,Russell Dickerson,2018-09-01,0.458,0.897,0.0,212066,0.174,-4.879,1,Blue Tacoma,70,2017-06-16,5PBx0zFfehUMyv5H4YXVAU,0.0402,1.0,160.131,4,0.728,21,212066,5,72,268896,1,['1E2AEtxaFaJtH0lO7kgNKw']
6,0.0217,Ariana Grande,2018-09-01,0.708,0.454,0.0,189506,0.073,-7.07,1,goodnight n go,71,2018-08-17,14kYOiFVPb7E7NfFbqhdln,0.0395,1.0,110.963,4,0.24,111,189506,6,98,52248260,1,['66CXWjxzNUsdJxJ2JdwvnR']
7,0.43,Ariana Grande,2018-09-01,0.652,0.31,1.16e-05,73813,0.182,-10.212,1,pete davidson,64,2018-08-17,0XOnMqLQDO89iAg7dWWwnG,0.0509,1.0,119.913,4,0.304,111,73813,5,98,52248260,1,['66CXWjxzNUsdJxJ2JdwvnR']
0,0.313,Nicki Minaj,2018-08-25,0.85,0.787,0.0,279866,0.194,-4.134,0,Barbie Dreams,65,2018-08-10,6Poyf51k7W3NKnsGwAI90B,0.338,1.0,87.983,4,0.7,243,279866,9,92,19079548,1,['0hCNtLu0JehylgoiP8L4Gh']
1,0.68,Trippie Redd,2018-08-25,0.767,0.538,0.0,121680,0.192,-6.044,0,Taking A Walk,78,2018-08-10,4mHgYpuGHu99Mw69E83CP2,0.052,1.0,81.031,4,0.343,1,121680,5,91,5468657,1,['6Xgp2XMz1fhVYe7i6yNAax']
2,0.182,Quavo,2018-08-25,0.79,0.629,7.06e-06,169620,0.338,-4.055,1,WORKIN ME,58,2018-08-10,33tNYw9oMtSkGe27NpgS64,0.142,1.0,170.023,4,0.267,1,169620,9,87,4438336,1,['0VRj0yCOv2FXJNP47XQnx5']
3,0.0805,J. Cole,2018-08-25,0.705,0.816,0.0,138872,0.476,-7.046,0,Album of the Year - Freestyle,59,2018-08-07,6rDaCGqcQB1urhpCrrD599,0.32,1.0,94.211,4,0.929,146,138872,7,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5']
4,0.204,Jason Mraz,2018-08-25,0.643,0.638,0.0,226106,0.0707,-4.947,0,Have It All,65,2018-08-10,7BXW1QCg56yzEBV8pW8pah,0.0407,1.0,82.001,4,0.6,154,226106,12,80,5637805,1,['4phGZZrJZRo4ElhRtViYdl']
5,0.46,Bryce Vine,2018-08-25,0.758,0.574,0.00272,191146,0.102,-6.889,0,Drew Barrymore,69,2017-12-01,0OgGn1ofaj55l2PcihQQGV,0.0572,1.0,151.985,4,0.261,1,191146,9,76,346523,1,['1ShZZUjkbXCjhwrb18BA8I']
6,0.0292,Luke Combs,2018-08-25,0.533,0.907,0.0,183160,0.386,-3.793,1,She Got the Best of Me,77,2018-06-01,698eQRku24PIYPQPHItKlA,0.0406,1.0,150.99,4,0.7,67,183160,8,88,3703385,1,['718COspgdWOnwOFpJHRZHS']
0,0.00513,Travis Scott,2018-08-18,0.834,0.73,0.0,312820,0.124,-3.714,1,SICKO MODE,87,2018-08-03,2xLMifQCjDGFmkHkpNLD9h,0.222,1.0,155.008,4,0.446,86,312820,16,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
1,0.00947,Travis Scott,2018-08-18,0.487,0.789,4.05e-06,270714,0.189,-3.69,1,STARGAZING,80,2018-08-03,7wBJfHzpfI3032CSD7CE2m,0.044,1.0,150.007,4,0.0564,86,270714,9,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
2,0.229,Travis Scott,2018-08-18,0.428,0.403,0.0,180182,0.22,-5.914,0,CAROUSEL,70,2018-08-03,7KZ5MMVgBVox9ycroB2UrI,0.209,1.0,95.387,5,0.133,86,180182,9,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
3,0.283,Travis Scott,2018-08-18,0.785,0.554,3.4e-06,150043,0.116,-6.571,1,YOSEMITE,78,2018-08-03,7lAK3oHbfEnvUQWosrMMpR,0.0409,1.0,128.047,4,0.144,86,150043,9,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
4,0.389,Travis Scott,2018-08-18,0.607,0.609,1.6e-05,185610,0.111,-5.978,0,R.I.P. SCREW,70,2018-08-03,4SZepBIPDRwPaHIjAKwRDb,0.291,1.0,74.946,4,0.556,86,185610,8,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
5,0.221,Travis Scott,2018-08-18,0.588,0.567,0.0,338438,0.135,-3.738,0,STOP TRYING TO BE GOD,71,2018-08-03,1xYpVRspgaLxdJLOTQkTjg,0.0628,1.0,150.009,4,0.113,86,338438,9,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
6,0.192,Travis Scott,2018-08-18,0.741,0.645,0.0,231963,0.163,-5.116,0,WAKE UP,74,2018-08-03,20MuVazoNMv6xjKPnRFOxG,0.0963,1.0,149.07,4,0.488,86,231963,11,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
7,0.0204,Travis Scott,2018-08-18,0.731,0.811,0.0,218283,0.411,-3.225,1,NO BYSTANDERS,74,2018-08-03,6OaVWaGfhXn70ZJfdVcabn,0.0712,1.0,147.045,4,0.426,86,218283,13,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
8,0.173,Travis Scott,2018-08-18,0.712,0.481,0.0,196138,0.241,-5.415,0,5% TINT,71,2018-08-03,11kDth1aKUEUMq9r1pqyds,0.0487,1.0,140.0,4,0.062,86,196138,9,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
9,0.0678,Travis Scott,2018-08-18,0.804,0.763,0.0,156885,0.368,-5.48,1,NC-17,68,2018-08-03,6BJbOXDlgVAXSaq6wYFYT2,0.0519,1.0,136.052,4,0.0585,86,156885,7,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
10,0.0462,Travis Scott,2018-08-18,0.834,0.731,0.0,176720,0.0731,-5.603,0,WHO? WHAT!,69,2018-08-03,4KYS9GK68yeuUJ8vJfPxrq,0.0566,1.0,140.001,4,0.681,86,176720,9,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
11,0.00146,Travis Scott,2018-08-18,0.46,0.686,0.0,145588,0.375,-5.948,0,SKELETONS,71,2018-08-03,6NMtzpDQBTOfJwMzgMX0zl,0.0367,1.0,148.054,4,0.252,86,145588,5,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
12,0.142,Travis Scott,2018-08-18,0.7,0.46,4.81e-05,142969,0.111,-8.111,0,ASTROTHUNDER,73,2018-08-03,4MXhiYIRDMGAuvZc5IFTwC,0.0661,1.0,151.901,4,0.286,86,142969,9,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
13,0.0985,Travis Scott,2018-08-18,0.689,0.723,0.0,217828,0.158,-4.052,0,HOUSTONFORNICATION,72,2018-08-03,58TaFP5j5i9swOf584yon2,0.0836,1.0,160.042,4,0.288,86,217828,10,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
14,0.0862,Travis Scott,2018-08-18,0.81,0.582,0.00681,209115,0.207,-5.098,0,COFFEE BEAN,70,2018-08-03,6vnfObZ4Ys70SBAtti1xZ9,0.125,1.0,95.004,4,0.503,86,209115,10,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
15,0.225,Ella Mai,2018-08-18,0.477,0.61,0.0,213993,0.107,-5.628,0,Trip,75,2018-10-12,6CTWathupIiDs7U4InHnDA,0.144,1.0,79.882,4,0.358,1,213993,8,78,3126455,1,['7HkdQ0gt53LP4zmHsL0nap']
16,0.0414,Juice WRLD,2018-08-18,0.665,0.651,0.0,175755,0.0896,-5.515,1,Lean Wit Me,80,2018-12-10,3oDkdAySo1VQQG0ptV7uwa,0.156,1.0,163.935,4,0.237,26,175755,9,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz']
0,0.0288,Yella Beezy,2018-08-11,0.803,0.648,0.0,219552,0.0904,-9.185,0,That's On Me,61,2017-12-21,4nrg60oftaZJqgKvGd9eaB,0.198,1.0,131.923,4,0.538,1,219552,10,65,843857,1,['7kwCkEJ384PWm0UQW3hxjS']
1,0.199,Mitchell Tenpenny,2018-08-11,0.499,0.797,0.0,211767,0.0933,-3.77,1,Drunk Me,70,2018-12-14,1G4cdOtF36ZCs6i2dZoC87,0.0554,1.0,176.024,4,0.408,1,211767,11,69,177431,1,['1p6CdzJRoicjRcSdWoB9Qc']
0,0.217,Imagine Dragons,2018-08-04,0.704,0.611,0.0,189466,0.0812,-6.112,1,Natural,81,2018-11-09,2FY7b99s15jUprqC0M5NCT,0.0409,1.0,100.0,4,0.22,371,189466,10,90,30578266,1,['53XhwfbYqKCa1cC15pYq2q']
1,0.177,Chance the Rapper,2018-08-04,0.514,0.693,0.0,240640,0.351,-5.868,1,I Might Need Security,59,2018-07-19,3EApebexZ7YqDIqw2EMTDh,0.408,1.0,110.568,3,0.287,1,240640,7,88,5035846,1,['1anyVhU62p31KFi8MEzkbf']
2,0.0142,Ciara,2018-08-04,0.746,0.825,0.0107,204150,0.121,-4.666,1,Level Up,67,2018-07-18,5ubwXXOsH9bUhZsQ0Cybha,0.169,1.0,152.914,4,0.584,77,204150,13,75,4592785,1,['2NdeV5rLm47xAvogXrYhJX']
3,0.159,Dennis Lloyd,2018-08-04,0.6,0.688,1.29e-05,156600,0.409,-8.339,0,Nevermind,77,2017-06-30,63SevszngYpZOwf63o61K4,0.201,1.0,99.977,4,0.0793,1,156600,6,76,485148,1,['3EOEK57CV77D4ovYVcmiyt']
4,0.462,Billie Eilish,2018-08-04,0.678,0.533,0.219,180952,0.139,-10.485,1,you should see me in a crown,80,2019-03-29,3XF5xLJHOQQRbWya6hBp7d,0.186,1.0,150.455,4,0.323,1,180952,9,93,34385382,1,['6qqNVTkY8uBg9cP3Jd7DAH']
5,0.161,NF,2018-08-04,0.513,0.661,0.0,209213,0.246,-6.419,1,Lie,78,2017-10-06,07FkzikE6FuHIa8Ma7zJGc,0.24,1.0,94.791,4,0.179,30,209213,10,86,4390165,1,['6fOMl44jA4Sp5b9PpYCkzz']
0,0.0233,Ariana Grande,2018-07-28,0.602,0.658,6e-05,197546,0.237,-5.934,1,God is a woman,81,2018-08-17,5OCJzvD7sykQEKHH7qAC3C,0.0558,1.0,145.031,4,0.268,101,197546,7,98,52248260,1,['66CXWjxzNUsdJxJ2JdwvnR']
1,0.0129,Childish Gambino,2018-07-28,0.76,0.579,0.00351,213600,0.106,-7.374,1,Summertime Magic,68,2018-07-11,4j3GWI86JvSaF0BLdmgcfF,0.0569,1.0,100.01,4,0.125,78,213600,7,82,7050125,1,['73sIBHcqh3Z3NyqHKZ7FOL']
2,0.682,Lauren Daigle,2018-07-28,0.494,0.632,0.0,274693,0.0869,-6.89,1,You Say,77,2018-09-07,6Up545NUflOiXo8cEraH49,0.0342,1.0,147.873,4,0.0797,1,274693,12,74,1456428,1,['40LHVA5BTQp9RxHOQ9JPYj']
3,0.555,benny blanco,2018-07-28,0.56,0.68,0.0,173799,0.116,-7.648,0,Eastside (with Halsey & Khalid),80,2018-07-12,0d2iYfpKoM0QCKvcLCkBao,0.321,1.0,89.391,4,0.319,1,173799,8,93,25973128,3,"['5CiGnKThu5ctn9pBxv7DGa', '26VFTg2z8YR0cCuwLzESi2', '6LuN9FCkKOj5PcnpouEgny']"
4,0.0716,Eric Church,2018-07-28,0.711,0.796,0.0045,208733,0.262,-5.87,1,Desperate Man,56,2018-10-05,1vHeu2j2MpfMqqvcXKLtic,0.0341,1.0,109.991,4,0.901,275,208733,10,77,2736489,1,['2IvkS5MXK0vPGnwyJsrEyV']
5,0.0699,Twenty One Pilots,2018-07-28,0.728,0.602,7.01e-06,225040,0.318,-7.748,0,Nico and the Niners,69,2018-10-05,5SehvGGC53A7SZKCLXQcyt,0.185,1.0,140.081,4,0.328,1,225040,11,86,18632769,1,['3YQKmKGau1PzlVlkL1iodx']
6,0.00175,lovelytheband,2018-07-28,0.666,0.728,4.26e-06,204878,0.0429,-5.808,1,broken,75,2018-08-03,6XcfKZvJio9Z0fQy11GnNX,0.0419,1.0,122.996,4,0.51,1,204878,9,68,273762,1,['4KJ6jujcNPzOyhdNoiNftp']
7,0.0362,Dylan Scott,2018-07-28,0.597,0.721,0.0,149293,0.0832,-6.422,1,Hooked,63,2017-08-04,3DV49ruvI5Sl6iisPZAc2c,0.0356,1.0,132.054,4,0.437,21,149293,7,65,803567,1,['78YqeIji3mgAS2K1Maca6x']
0,0.064,Future,2018-07-21,0.884,0.579,2.38e-06,176630,0.182,-6.847,1,WIFI LIT,52,2018-07-06,6WlxcZKpEV6Bwe9InoVhMp,0.299,1.0,144.973,4,0.313,150,176630,6,91,9409700,1,['1RyvyyTE3xzB2ZywiAwp0i']
1,0.00849,Twenty One Pilots,2018-07-21,0.62,0.61,0.162,238560,0.205,-8.329,0,Jumpsuit,71,2018-10-05,1E1uGhNdBe6Dddbgs2KqtZ,0.0373,1.0,127.052,4,0.235,1,238560,10,86,18632769,1,['3YQKmKGau1PzlVlkL1iodx']
2,0.267,Future,2018-07-21,0.875,0.644,0.0,240682,0.125,-6.554,1,31 DAYS,51,2018-07-06,7MywASx2OFZngfoORjo1yy,0.222,1.0,139.086,4,0.788,150,240682,14,91,9409700,1,['1RyvyyTE3xzB2ZywiAwp0i']
3,0.0744,Future,2018-07-21,0.903,0.503,2.09e-05,181894,0.125,-9.188,0,CUDDLE MY WRIST,49,2018-07-06,5UVNjOSh27encRBqTpBWup,0.335,1.0,125.0,4,0.203,150,181894,8,91,9409700,1,['1RyvyyTE3xzB2ZywiAwp0i']
4,0.233,Future,2018-07-21,0.868,0.548,2.67e-06,204311,0.181,-7.864,1,RACKS BLUE,49,2018-07-06,4lc61NBCDzy2srBHDQeTfN,0.171,1.0,139.999,4,0.557,150,204311,10,91,9409700,1,['1RyvyyTE3xzB2ZywiAwp0i']
5,0.0106,Lil Pump,2018-07-21,0.933,0.488,0.00107,175774,0.0958,-9.327,0,Drug Addicts,56,2018-07-06,6tpHfEM8eaETzlPOARYWfZ,0.149,1.0,142.064,4,0.21,37,175774,12,77,7308734,1,['3wyVrVrFCkukjdVIdirGVY']
0,0.0165,Drake,2018-07-14,0.912,0.412,0.0126,238614,0.104,-8.074,1,Nonstop,79,2018-06-29,0TlLq3lA83rQOYtrqBqSct,0.123,1.0,154.983,4,0.423,519,238614,11,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
1,0.0589,Drake,2018-07-14,0.835,0.626,6e-05,217925,0.396,-5.833,1,In My Feelings,79,2018-06-29,2G7V7zsVDxg1yRsu7Ew9RJ,0.125,1.0,91.03,4,0.35,519,217925,10,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
2,0.0248,Drake,2018-07-14,0.414,0.677,0.0,302173,0.0793,-5.12,1,Emotionless,66,2018-06-29,5Psnhdkyanjpgc2P8A5TSM,0.254,1.0,172.521,4,0.0853,519,302173,11,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
3,0.045,Drake,2018-07-14,0.754,0.575,0.00131,205146,0.276,-8.393,0,Mob Ties,71,2018-06-29,7rC5Pl8rQSX4myONQHYPBK,0.0682,1.0,86.009,4,0.491,519,205146,11,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
4,0.0152,Drake,2018-07-14,0.758,0.474,0.0,184960,0.116,-8.72,1,Elevate,63,2018-06-29,3szf2z1Cy1QMrtHrbn8rz9,0.147,1.0,76.061,4,0.0542,519,184960,7,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
5,0.133,Drake,2018-07-14,0.555,0.596,0.0,136186,0.123,-9.09,0,Survival,60,2018-06-29,2yg9UN4eo5eMVJ7OB4RWj3,0.375,1.0,77.324,4,0.145,519,136186,7,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
6,0.126,Drake,2018-07-14,0.761,0.598,0.0,163974,0.0839,-7.249,0,Can’t Take A Joke,67,2018-06-29,1dUHF4RyMmMTveJ0Rby6Xm,0.182,1.0,173.897,4,0.446,519,163974,9,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
7,0.161,Drake,2018-07-14,0.527,0.689,0.0,195720,0.498,-7.87,1,8 Out Of 10,60,2018-06-29,0zqy3ss4CwD6u4QPksS0nI,0.741,1.0,170.538,4,0.31,519,195720,7,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
8,0.0481,Drake,2018-07-14,0.486,0.849,0.0,216333,0.143,-5.432,1,Sandra’s Rose,62,2018-06-29,6cblRiEGDRNZgowcm951R3,0.246,1.0,152.086,4,0.519,519,216333,7,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
9,0.477,Drake,2018-07-14,0.776,0.482,0.0456,247893,0.11,-11.269,1,Summer Games,61,2018-06-29,4HG1YiGBseVKzjyKcmAJen,0.0357,1.0,136.008,4,0.134,519,247893,11,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
10,0.013,Drake,2018-07-14,0.889,0.372,0.0,162800,0.184,-10.254,0,Blue Tint,63,2018-06-29,4n1bdaKwynQndm47x5HqWX,0.357,1.0,133.997,4,0.123,519,162800,7,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
11,0.037,Drake,2018-07-14,0.764,0.271,0.0,262453,0.175,-5.697,1,Jaded,65,2018-06-29,4c2xt1trwYZpMqPWY35Xi9,0.0414,1.0,116.019,4,0.0371,519,262453,10,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
12,0.727,Drake,2018-07-14,0.708,0.547,0.0,226906,0.159,-7.607,1,Is There More,57,2018-06-29,1Tnw0ItH1Macok8gblnPPd,0.314,1.0,83.8,4,0.549,519,226906,9,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
13,0.117,Drake,2018-07-14,0.85,0.473,0.0103,157605,0.108,-5.747,0,That’s How You Feel,64,2018-06-29,41a7dZcq30Ss5kPMayWRV0,0.209,1.0,85.454,4,0.38,519,157605,6,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
14,0.85,Drake,2018-07-14,0.687,0.218,0.000125,206026,0.106,-13.539,0,Peak,60,2018-06-29,11L064movtyopGdLiX4sVg,0.0388,1.0,91.991,4,0.269,519,206026,8,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
15,0.133,Drake,2018-07-14,0.807,0.319,0.000338,182080,0.101,-8.152,0,Finesse,71,2018-06-29,2WP8G2pdddDmnh1xbfKBOI,0.0581,1.0,94.992,4,0.299,519,182080,9,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
16,0.11,Drake,2018-07-14,0.657,0.571,0.00123,207306,0.0735,-12.519,1,Ratchet Happy Birthday,57,2018-06-29,4SUwJA3eUVNHExxMPEUhQe,0.139,1.0,167.958,4,0.622,519,207306,9,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
17,0.422,Drake,2018-07-14,0.5,0.449,7.96e-06,219960,0.115,-10.977,1,Final Fantasy,58,2018-06-29,44Du2IM1bGY7dicmLfXbUs,0.442,1.0,144.206,1,0.104,519,219960,5,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
18,0.405,Drake,2018-07-14,0.558,0.414,0.0,309560,0.36,-7.355,0,March 14,56,2018-06-29,09lmraDvzBT3pUQ2rUtJzK,0.358,1.0,127.094,4,0.318,519,309560,12,100,50451953,1,['3TVXtAsR1Inumwj472S9r4']
19,0.172,Queen Naija,2018-07-14,0.592,0.571,0.0,176075,0.106,-7.132,1,Karma,64,2018-06-29,3qmm9AdG0TnShv0drgXNIQ,0.174,1.0,104.95,4,0.424,5,176075,7,72,1624561,1,['3nViOFa3kZW8OMSNOzwr98']
20,0.136,Morgan Evans,2018-07-14,0.57,0.684,0.0,213183,0.205,-7.054,1,Kiss Somebody,65,2018-10-12,4f3fb3alVLFc8Ga4ncpg7x,0.0465,1.0,89.012,4,0.531,1,213183,9,61,103330,1,['6fzQ81ouajOEFqCIB9VwrS']
21,0.193,Luke Bryan,2018-07-14,0.471,0.897,0.0,216093,0.196,-2.27,1,"Sunrise, Sunburn, Sunset",67,2017-12-08,53yTYusPQJ1AApL1hi0Dnc,0.0597,1.0,159.958,4,0.719,420,216093,10,80,5802086,1,['0BvkDsjIUla7X0k6CSWh1I']
22,0.152,Old Dominion,2018-07-14,0.758,0.867,0.0,166573,0.308,-5.087,1,Hotel Key,67,2017-08-25,33471tzU1VghDg9zNgGRpz,0.0475,1.0,102.018,4,0.964,98,166573,9,73,874015,1,['6y8XlgIV8BLlIg1tT1R10i']
23,0.0833,Alessia Cara,2018-07-14,0.353,0.753,0.0,193626,0.383,-6.277,0,Growing Pains,55,2018-11-30,2N6bB5ck67CNILInUX1Ctw,0.74,1.0,191.142,4,0.432,117,193626,10,83,7881059,1,['2wUjUUtkb5lvLKcGKsKqsR']
0,0.798,Demi Lovato,2018-07-07,0.397,0.303,4.16e-06,197893,0.0824,-10.413,1,Sober,74,2018-06-21,0STK94RxUulYqWzwFlyAb5,0.11,1.0,170.22,3,0.17,232,197893,10,87,18298582,1,['6S2OmqARrzebs0tKUEyXyp']
1,0.115,Juice WRLD,2018-07-07,0.594,0.798,0.0,191840,0.143,-5.244,1,Legends,81,2018-06-22,1Knctxx9vGZxpZfF66BIEa,0.0844,1.0,142.049,4,0.381,12,191840,5,99,13099020,1,['4MCBfE4596Uoi2O4DtmEMz']
2,0.1,Thomas Rhett,2018-07-07,0.687,0.845,0.0,190226,0.0452,-4.37,1,Life Changes,65,2017-09-08,4Vxu50qVrQcycjRyJQaZLC,0.0576,1.0,87.972,4,0.809,196,190226,8,80,3585439,1,['6x2LnllRG5uGarZMsD4iO8']
0,0.016,The Carters,2018-06-30,0.698,0.783,0.0,264853,0.176,-6.503,1,APES**T,41,2018-06-15,0B08s1tLWCXoFmGP0vIubM,0.266,1.0,160.034,4,0.378,1,264853,14,63,959284,1,['4fpTMHe34LC5t3h5ztK8qu']
1,0.0323,BLACKPINK,2018-06-30,0.671,0.859,0.0,209355,0.267,-3.922,0,DDU-DU DDU-DU,77,2018-06-15,2aI2k39nfa3KFsa4JclQzw,0.0833,1.0,139.931,4,0.389,1,209355,11,94,16221070,1,['41MozSoPIsD1dJM0CLPjZF']
2,0.187,The Carters,2018-06-30,0.813,0.488,0.000132,244133,0.231,-7.737,0,BOSS,52,2018-06-16,4F8V44j8cbjHnXjfW2HruU,0.257,1.0,139.983,4,0.688,1,244133,11,63,959284,1,['4fpTMHe34LC5t3h5ztK8qu']
3,0.661,XXXTENTACION,2018-06-30,0.592,0.457,0.000331,110886,0.146,-6.081,0,Hope,82,2018-03-16,2ZRo7axmMPeSVUvDbGkJah,0.0603,1.0,146.04,4,0.225,73,110886,5,93,22762909,1,['15UsOTVnJzReFVN1VCnxy4']
4,0.12,The Carters,2018-06-30,0.592,0.569,1.75e-05,285200,0.251,-6.374,1,SUMMER,51,2018-06-15,7zmleW3XZx0uUsL2CkFuDe,0.0634,1.0,135.414,4,0.562,1,285200,13,63,959284,1,['4fpTMHe34LC5t3h5ztK8qu']
5,0.092,The Carters,2018-06-30,0.912,0.533,1.48e-06,233680,0.174,-5.587,1,NICE,50,2018-06-16,44lusH2vzc4sRAwsooRhPh,0.0618,1.0,119.922,4,0.208,1,233680,10,63,959284,1,['4fpTMHe34LC5t3h5ztK8qu']
6,0.137,The Carters,2018-06-30,0.75,0.573,1.89e-05,344293,0.133,-8.391,0,FRIENDS,48,2018-06-16,0gu5B9dUOiLezdDjrLPCCV,0.0779,1.0,143.948,4,0.303,1,344293,17,63,959284,1,['4fpTMHe34LC5t3h5ztK8qu']
0,0.339,KIDS SEE GHOSTS,2018-06-23,0.585,0.597,0.0404,324674,0.195,-7.499,1,Reborn,73,2018-06-08,4RVbK6cV0VqWdpCDcx3hiT,0.037,1.0,100.051,4,0.227,1,324674,14,68,646652,1,['2hPgGN4uhvXAxiXQBIXOmE']
1,0.126,KIDS SEE GHOSTS,2018-06-23,0.58,0.469,7.32e-05,165053,0.099,-5.946,0,Feel The Love,65,2018-06-08,3aUFrxO1B8EW63QchEl3wX,0.104,1.0,110.573,4,0.369,1,165053,7,74,2444753,2,"['2hPgGN4uhvXAxiXQBIXOmE', '0ONHkAv9pCAFxb0zJwDNTy']"
