track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,artist_popularity,artist_followers
Soapy,Naira Marley,spotify:track:67Ar5yu8mH1rOVInvnsG0U,0.9,0.806,1,-4.816,1,0.246,0.159,0.00971,0.0811,0.671,123.038,174043,4,62.95402,8,0,55,41200
How to Screw up Your Future and Disappoint Your Loved Ones,Settle Your Scores,spotify:track:5IrhLbdayXhmWrJm6w2u0q,0.524,0.879,1,-4.403,1,0.0972,0.000204,0,0.134,0.61,96.039,251309,4,83.35424,9,0,39,14949
This Beat,Agent K,spotify:track:1XZ67EIm9CdtyysfF6KmoP,0.507,0.833,9,-6.234,1,0.0603,0.007,0.157,0.0808,0.198,127.611,258462,4,29.55778,8,0,16,896
I Won't Let Go,Rascal Flatts,spotify:track:1T1C9VVQ1lb60WxWZx7KoG,0.557,0.406,4,-7.083,1,0.0278,0.742,0,0.113,0.222,131.96,227760,4,32.97309,10,1,75,2532718
Passing Clouds,Hiss Golden Messenger,spotify:track:2AhYkpdmBe5vqBJVtili98,0.639,0.452,4,-11.939,1,0.0966,0.242,0.0611,0.12,0.469,78.999,251080,4,101.31662,8,0,57,57635
Novacane,Frank Ocean,spotify:track:4osgfFTICMkcGbbigdsa53,0.762,0.508,3,-9.112,1,0.0919,0.0584,0.00126,0.16,0.37,93.51,302347,4,52.38595,13,1,87,6565999
We Dem Boyz,Wiz Khalifa,spotify:track:1ULa3GfdMKs0MfRpm6xVlu,0.717,0.862,8,-4.736,1,0.054,0.00689,0,0.321,0.52,130.021,224933,4,45.05436,12,1,88,9433240
Lay Me Down,Sam Smith,spotify:track:64GRDrL1efgXclrhVCeuA0,0.468,0.19,4,-11.138,1,0.0373,0.919,0,0.107,0.326,125.319,219536,4,35.65947,11,1,90,19426184
Let Us Fly,Love Sees No Color,spotify:track:4rXDsT3QDtYoII35l5hqAT,0.487,0.915,7,-5.413,1,0.0331,0.000278,1.4e-05,0.372,0.548,93.966,206005,4,21.52767,10,0,0,39
"Cello Suite No. 2 in D Minor, BWV 1008: III. Courante",Johann Sebastian Bach,spotify:track:1GlQ0GF2B6xAGwPWVu1RXV,0.408,0.175,2,-27.874,0,0.0516,0.945,0.895,0.125,0.845,102.155,126600,3,64.55084,7,0,81,2936233
Rope,Foo Fighters,spotify:track:7v0mtl6oInUtHOmTk2b0gC,0.511,0.728,11,-4.874,0,0.037,2.52e-05,7.41e-05,0.0725,0.541,138.179,259027,4,71.23802,8,1,81,8050658
Holy Grail,Jay Z Featuring Justin Timberlake,spotify:track:1q9bLSeIlGf2xBvbOkp2Wr,0.675,0.534,2,-6.901,0,0.0831,0.0594,8.59e-06,0.256,0.156,145.08,338413,4,28.17955,13,1,87,15486542
Motiv8,J. Cole,spotify:track:1AT4xjNarTswd0UZ5FlmKF,0.869,0.385,4,-7.801,1,0.297,0.135,0,0.0931,0.596,149.897,133922,4,22.84222,10,1,88,11902179
Camouflage,Brad Paisley,spotify:track:6hVgzcyMmjNKaJn5VRZX3H,0.56,0.965,4,-3.67,1,0.0472,0.0325,0.000984,0.43,0.771,113.633,266147,4,46.4182,13,1,71,1882048
Tuesday,I LOVE MAKONNEN Featuring Drake,spotify:track:2znzyzlAUc8Z1Ikq9aFOcx,0.77,0.664,0,-5.604,1,0.211,0.215,0.000118,0.105,0.472,140.163,321987,4,28.09925,14,1,100,50683499
Today,Brad Paisley,spotify:track:1IO13V09b01gLSbmZJZ9dM,0.347,0.632,2,-6.998,1,0.0381,0.539,0.00226,0.121,0.285,74.257,229338,3,30.00571,8,1,71,1882048
Hardcore,Powerslut,spotify:track:1bYboqW92T88TSqvMRnYkY,0.55,0.607,11,-7.436,0,0.0449,0.000176,2.44e-06,0.114,0.685,117.581,135587,4,18.19915,8,0,3,210
God morgen vår!,Nanahira,spotify:track:4lqNbZ9nMLKyvphlhQImZ0,0.472,0.868,11,-4.18,1,0.115,0.0559,0.000939,0.331,0.641,193.911,254147,3,52.93621,12,0,51,41645
