track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,artist_popularity,artist_followers
Don't Cry,Lil Wayne Featuring XXXTENTACION,spotify:track:5BQrp63SHCVf4bzCzJePne,0.585,0.709,8,-6.072,1,0.319,0.409,0,0.183,0.21,111.913,249450,4,86.81431,8,1,93,32347488
pictures feat. Kacey Musgraves,Judah & the Lion,spotify:track:1zZIVe9x0JhdhpuQjLTjIM,0.567,0.542,2,-6.64,1,0.0309,0.309,0.000342,0.0734,0.229,125.16,253869,4,43.12072,11,0,76,1076433
Touch Me,Clinic,spotify:track:7ibdlh8S0E898zZNDmNefJ,0.636,0.565,1,-9.194,1,0.0311,0.00437,0.276,0.376,0.53,87.993,197538,4,21.52928,11,0,37,31273
Cold Summer (feat. Tee Grizzley),Jeezy,spotify:track:1ePdxyyF6tntoUAf8PZQuF,0.701,0.731,11,-4.528,0,0.213,0.0355,0,0.389,0.36,90.015,181347,4,25.3835,8,0,75,3740068
The Heart Of Dixie,Danielle Bradbery,spotify:track:5FgLLtrDU4Ex2ezB9anpH5,0.456,0.637,6,-4.773,1,0.0354,0.0171,0,0.194,0.436,155.95,209453,4,24.18304,11,1,62,203926
Conqueror of the Apocalypse - Remastered,Disparaged,spotify:track:4CvBUpUoFvidPasGk6Idre,0.114,0.879,10,-5.71,0,0.0766,4.12e-05,0.0864,0.0842,0.213,68.509,355613,4,121.99333,13,0,6,540
Brethren of the Pentagram,Lock Up,spotify:track:5jHBy1bwpUMET0ad6Ug3KK,0.343,0.978,6,-5.064,1,0.164,7.74e-06,2.86e-06,0.374,0.0832,120.629,95547,1,23.46464,5,0,22,12958
What A Wonderful World & Somewhere Over The Rainbow [Instrumental Hawaiian Ukulele Medley],John Story,spotify:track:4wBu1yILekp1hZQKWXhQpN,0.564,0.318,0,-13.652,1,0.0616,0.899,0.96,0.0858,0.742,170.707,182000,4,37.20096,8,0,49,1403
Stereo Love,Edward Maya & Vika Jigulina,spotify:track:5RfBhOGNbbXT5LiIvbHLhN,0.773,0.736,9,-5.589,1,0.0383,0.0335,0.0184,0.104,0.212,127.056,184000,4,31.45369,7,1,63,163174
Nice To Meet Ya,Niall Horan,spotify:track:3cphb8kdsjElYR7r5icK3H,0.591,0.841,4,-4.351,0,0.0304,0.0119,0,0.395,0.392,109.034,158805,4,27.8013,8,1,83,6110458
Setting Fires,The Chainsmokers Featuring XYLO,spotify:track:2PC9Tl8SWVO2yhDDtJcrAi,0.627,0.717,8,-5.751,0,0.0376,0.017,0,0.261,0.561,105.05,247427,4,47.15061,10,1,87,17096216
Tropicana Fruit Juice,Ycee,spotify:track:5EIVA0ZDr605FzZpnskzBc,0.82,0.38,0,-7.989,0,0.0502,0.416,2.53e-05,0.0952,0.647,95.004,245864,4,22.23884,4,0,55,148814
Sidewalks,The Weeknd Featuring Kendrick Lamar,spotify:track:4h90qkbnW1Qq6pBhoPvwko,0.542,0.721,1,-5.136,0,0.0625,0.147,0,0.348,0.623,149.831,231360,4,78.44418,9,1,96,40937824
Shadows of doom,Graveland,spotify:track:6JcKgXgOSKq0pMzeu3XN0V,0.313,0.845,1,-11.631,1,0.0849,0.0012,0.869,0.11,0.0555,124.991,193453,4,57.06341,5,0,23,13043
Clique,"Kanye West, Jay-Z, Big Sean",spotify:track:65rRB2mspD309xE6YimZTl,0.66,0.539,9,-5.947,0,0.324,0.0534,0,0.222,0.307,109.318,293613,5,39.90831,14,1,92,26118219
No Llega el Olvido,Jenni Rivera,spotify:track:2l8QQVT6hYdnT79kKCU6p6,0.573,0.276,10,-8.073,1,0.0397,0.651,0,0.0909,0.442,81.898,194947,4,36.36464,8,0,72,1872687
Mama's Song,Carrie Underwood,spotify:track:0m8Ta268d1kBBG7lxMyWqa,0.341,0.659,2,-5.419,1,0.0357,0.442,0,0.096,0.269,79.987,240240,4,25.29826,14,1,75,4202986
Liv Tonight,Nelly Featuring Keri Hilson,spotify:track:2BuJG2fuvyTOMRyNHo0P17,0.591,0.91,8,-4.593,1,0.0882,0.00492,0,0.0525,0.655,135.024,271053,4,42.75408,14,1,79,2959368
