artist,artist_id,song_ids,song_names,length,weeksdates
Mulatto,3MdXrJWsbVzdn6fe5JYkSQ,['2zUbimuKNWDMCwbqNauLWV'],['B*tch From Da Souf (Remix)'],1,['2020-08-22|0']
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,['4Yxc55NX3tAXC2mHRAhtcW'],"['All I Want - From ""High School Musical: The Musical: The Series""']",1,['2020-01-18|0']
Surf Mesa,1lmU3giNF3CSbkVSQmLpHQ,['62aP9fBQKYKxi7PDXwcUAS'],['ily (i love you baby) (feat. Emilee)'],1,['2020-06-06|0']
Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,"['0axUHkhMMY0YSC1jFBVWqv', '1pm6AoOYO81llP3gwkTAbI', '2o5mwv7hvas1jdUg14Nihv', '0mMR63GfhjpxT02rIdq5Mz', '3bzE57iNavJJxXL9GgBiOK', '5ytc87gcx6dZ4nWRNykinV', '4KAzYqfcijCSZa2P3etHoM', '0h3DPHckCUqcWswjVMvdE9', '0yLAJvnay8hXAU0exdXSXi', '1nJlb0ZE6uZHk7D8YS7353', '1u6Ni98NiRqeiwe47DpMsA', '1WtdhlaiUoDTrVNSwaya0L', '6EGAfJaLUFzhS4zRBIEQ2J', '17X2tSzibD9n9QRjdExcWT', '7C2Th9WKovi6NyjGoqaPsK', '3C6WblKJq7rpsPsIafytEV', '215FCyLSBcXeX0NASXEjyn', '65Jn2gZWMren03Rz0fCMqs', '3gVRILe7XCyNakb6sy5umX', '4T5Z4mbTe7kuGqgLpaRtTh', '4llYMkhHa1w7UAdDFRQcEZ', '7K0lR5Ngf5jkOWt1g6ut6l', '0WYbR2GSfl4ehvmLmcpAqi', '5eH1ktZDHgegpkYJOY7tme', '2dwoqUYTy6SOy1dFqcTndC', '5HJqpDspKDKwQpLjvkcIsD', '25rV6ArwFMht49oONoqSLQ', '5WA2SHuL5eesmPnYflNzlT', '4TCc369aRPRubv1m8R1TBG', '2SEsRxNSXidnMOZoTEzX1k', '2qYsSHsYkihWx043HVJQRV', '6UL2RC5J2vMau9KOMKQfJg', '3esPcn43N0CytAtcY9V30C']","['Amarillo Sky', 'Fly Over States', 'Take A Little Ride', ""Any Ol' Barstool"", 'Big Green Tractor', 'You Make It Easy', 'We Back', 'The Only Way I Know (with Luke Bryan and Eric Church)', 'Drowns The Whiskey (feat. Miranda Lambert)', 'Johnny Cash', 'Hicktown', ""Just Gettin' Started"", 'Got What I Got', 'Two Night Town', 'Night Train', 'Lights Come On', 'Dirt Road Anthem', 'Tattoos on This Town', '1994', 'My Kinda Party', 'Rearview Town', 'Girl Like You', 'Laughed Until We Cried', 'Gonna Know We Were Here', 'When She Says Baby', 'Tonight Looks Good on You', ""Burnin' It Down"", ""They Don't Know"", ""Sweet Little Somethin'"", 'A Little More Summertime', 'Crazy Town', 'Why', 'The Truth']",33,"['2010-05-01|146', '2012-08-04|250', '2009-11-21|126', '2014-10-04|351', '2006-03-18|14', '2011-10-08|207', '2005-08-13|1', '2017-02-11|447', '2012-11-03|263', '2014-08-09|341', '2012-03-10|230', '2019-11-30|553', '2014-10-11|353', '2014-09-20|347', '2018-12-01|516', '2012-11-24|267', '2008-02-02|70', '2014-10-18|355', '2020-06-13|569', '2009-06-27|106', '2019-06-08|535', '2013-12-14|321', '2016-08-06|429', '2011-04-23|183', '2017-08-19|465', '2018-02-10|477', '2018-06-30|497', '2014-09-27|349', '2007-05-05|54', '2010-09-11|163', '2006-10-28|34', '2016-04-23|415', '2013-03-30|289']"
Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,"['7qEHsqek33rTcFNT9PFqLf', '7ce20yLkzuXXLUhzIDoZih']","['Before You Go', 'Someone You Loved']",2,"['2020-02-08|38', '2019-05-25|1']"
BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,['4nK5YrxbMGZstTLbvj6Gxw'],['Supalonely'],1,['2020-03-28|0']
Idina Menzel,73Np75Wv2tju61Eo9Zw4IR,['0Ie5uiv54KgCr7P4sYDTHl'],"[""Baby It's Cold Outside (duet with Michael Bublé)""]",1,['2014-12-06|33']
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,"['76vMKwFtdDDCLcM6zXybjB', '1BECwm5qkaBwlbfo4kpYx8', '3yZQk5PC52CCmT4ZaTIKvv', '4bPQs0PHn4xbipzdPfn6du', '22oEJW6r2rMb9z4IntfyEa', '6od5hFv9IT5JHc7NEF9HRv', '1rqqCSm0Qe4I9rUvWncaom', '1S30kHvkkdMkcuCTGSgS41', '5rLi8B8qgk6qThwRnKHW2P', '46Kcradxrva9Dny4lHU1b3', '4WdopfTdSd0nCLropjhsgH']","['Death of a Bachelor', 'Hey Look Ma, I Made It', 'Miss Jackson (feat. LOLO)', 'High Hopes', 'The Only Difference Between Martyrdom and Suicide Is Press Coverage', 'Nine in the Afternoon - Single Mix', 'This Is Gospel', 'Victorious', 'The Ballad of Mona Lisa', 'Say Amen (Saturday Night)', 'I Write Sins Not Tragedies']",11,"['2006-04-01|2', '2018-04-07|77', '2018-06-09|79', '2013-08-31|66', '2011-02-19|64', '2013-08-03|65', '2006-03-18|0', '2019-04-27|116', '2016-02-06|70', '2008-02-16|45']"
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"['19YKaevk2bce4odJkP5L22', '6Nle9hKrkL1wQpwNfEkxjh', '2ZWlPOoWh0626oTaHrnl2a', '7eqoqGkKwgOaWNNHx90uEZ', '4S4Mfvv03M1cHgIOJcbUCL', '7DfFc7a6Rwfi3YQMRbDMau', '2INhKpUdzh7v0j041gZNsz', '3xKsf9qdS1CyvXSMEid6g8', '4osgfFTICMkcGbbigdsa53', '35xSkNIXi504fcEwz9USRB']","['Solo', 'Chanel', 'Thinkin Bout You', 'Novacane', 'Nights', 'Ivy', 'Nikes', 'In My Room', 'DHL', 'Pink + White']",10,"['2011-07-23|0', '2016-09-10|32', '2017-04-01|33', '2019-11-02|34', '2012-07-28|4', '2019-11-16|35']"
Miranda Lambert,66lH4jAE7pqPlOlzUKbwA0,"['6vMiU1tMnWXkWlmMWjX6ZN', '0kPeZAyIhIfeZNrtfjJGDB', '3fDsErbmOD3TuaSDuxSXav', '1hTSImeofoaFWptq9JSFpP', '0B0y2FImat9j9MJTNRZWfW', '05Rdg52eBYVUy5A55rnz39', '6sXK2Fq7Ibi3SN6qYyQgIG', '4EDeBzhZMcHEx7A8IcDiaL', '2mXsZsJBThTaJXbNcg5QD4', '4sl4UWqzHSG7riBKdralwy', '3z1PqYwMtct2Dm4R9lhWnT', '2yhhcHTfvLC0HzSajGYL0h', '41FLEFSeRCv19OBn0vLiaH', '6s9m5J92By7jii22Q2XtY2', '08NPIspzvBNj88lHalgA4V', '1ThdZzM4DCcNIRf9EyBMg5', '4Qtw0HNKSbIRT5sWUnbRXc', '4ckQIgBy1gVeevf7UAereE', '02eD9ymfJOJOhM97HYp5R9', '4oXOOBwZsHFnRRNBNXrr9X']","['All Kinds of Kinds', 'The House That Built Me', 'More Like Her', 'Only Prettier', 'Automatic', 'Baggage Claim - Radio Edit', 'Heart Like Mine', 'Famous In a Small Town', 'Vice', ""Somethin' Bad (with Carrie Underwood) - (Duet with Carrie Underwood)"", 'Gunpowder & Lead', 'Fastest Girl in Town', 'Over You', 'Little Red Wagon', 'Bluebird', ""Mama's Broken Heart"", 'Kerosene', 'It All Comes Out in the Wash', 'Tin Man', 'White Liar']",20,"['2010-09-18|89', '2011-02-26|108', '2016-08-06|241', '2019-11-16|261', '2014-03-01|212', '2014-06-07|225', '2011-11-19|140', '2007-10-06|16', '2013-02-09|187', '2009-01-31|41', '2013-10-26|207', '2017-04-22|260', '2005-12-17|0', '2012-08-11|168', '2008-05-17|24', '2011-08-27|128', '2009-10-31|49', '2015-02-28|230', '2010-04-10|69', '2020-04-18|263']"
Matt Stell,7EekKnlf2HwNaLLpL9Cpgy,"['0ifYeH4gNXEyba41xr3I1w', '4j6GMcVcqZf1r0GDqMtYp6']","['Everywhere But On', 'Prayed For You']",2,"['2020-09-19|21', '2019-08-17|1']"
Old Dominion,6y8XlgIV8BLlIg1tT1R10i,"['33471tzU1VghDg9zNgGRpz', '3Mnr3yyQk1aUPYgbpOQE31', '2A69wys3S9uiPSmn6UZWJn', '7cA3PnUQDlUyBBwpRozQeo', '7I5fYc4qKJddht8Ozhqqdx', '5ZManJDV3CexO66nRCkdiV', '7px4t7HGiuMUvFkEOpZEwp', '0OlS52TmtK2gPaEtdmr7DN']","['Snapback', 'Song for Another Time', 'One Man Band', 'Written in the Sand', 'Hotel Key', 'No Such Thing as a Broken Heart', 'Break Up with Him', 'Make It Sweet']",8,"['2016-10-15|40', '2019-01-12|116', '2018-07-14|97', '2016-02-13|20', '2019-09-07|136', '2017-12-09|77', '2015-07-25|0', '2017-06-17|58']"
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,"['1XRgIKC5TPwo7nWGyKqgG0', '5xgAPoTn4YswCIOjAGNWJI', '5QrT8pNtw1UnjqFuSUsenv', '5FDCDBFDKpf7TLzDx6r2Lp', '39liuGHPxn2sAyvO6DINor', '2yuyaYAELoMG4ApV5wJsWR', '2jIT1TfSIjVik7Qu1B6P5h', '6rUcS9i07F6okIe8wujs5J', '17DjWsC0G9YQtAiepG3c5v', '2XaInsPPUkZRkY4uFJ3AHK', '5tFep7dXGd7vEJ668wTPux', '11hQvcLydGTyXS3Wo6AkmW']","['Met Gala (feat. Offset)', 'Pussy Print (feat. Kanye West)', 'Back On Road', 'Big Boy Diamonds (feat. Kodak Black & London on Da Track)', 'Make Love', 'Curve (feat. The Weeknd)', 'Both (feat. Drake)', 'Wasted (feat. Plies)', 'Spotlight (feat. Usher)', 'Lemonade', 'I Get the Bag (feat. Migos)', ""Stunting Ain't Nuthin (feat. Slim Jxmmi & Young Dolph)""]",12,"['2017-03-18|74', '2017-01-07|64', '2017-10-07|93', '2016-08-13|63', '2009-09-19|17', '2017-06-17|87', '2019-11-16|120', '2010-02-20|50', '2009-11-14|25', '2017-11-04|99', '2017-09-09|89']"
Chris Janson,60gmlHZmT16wiO9GiXKYK9,"['2WKLUgklz0VDX5bKTZ3eYD', '0s6OWiWGuiCcm1Muzch5A8', '1XVqh0dC0PIl72f2mQhsVt', '1kFBLqkTuNKlspkJ1EOGjN', '693NFnfJZt16AFDaZqlflo']","['Good Vibes', 'Done', 'Buy Me a Boat', 'Drunk Girl', 'Fix a Drink']",5,"['2018-09-08|34', '2017-09-02|20', '2019-09-14|44', '2020-06-27|57', '2015-06-13|0']"
Tones And I,2NjfBq1NflQcKSeiDooVjY,['2XU0oxnq2qxCpomAAuJY8K'],['Dance Monkey'],1,['2019-10-19|0']
JP Saxe,66W9LaWS0DPdL7Sz8iYGYe,['2kJwzbxV2ppxnQoYw4GLBZ'],['If the World Was Ending - feat. Julia Michaels'],1,['2020-04-11|0']
Wale,67nwj3Y5sZQLl72VNUHEYE,"['6kx16R0LMAyoXDvGqddZFy', '1cOi4OoRlpOznxiRa8FfHf', '5yhKaacMZGRo4s6evJx9vk', '1BvTqJLeB9ZeGU01gFzJbh', '7FAXe9lI8vzAJYgYv2xoSC', '5z51HY4ei5QhTjcvwq5Msw', '2h3i5tGUl6hMu572umjcGo', '3MAgQuClHcAV8E9CbeBS6f', '7vlPI45Zzzk0palLdKry4k', '4w27lZ9zcceZp6rumzGCBx', '4HYc74wPEfUAhlQFm4fZHa', '5tZmLjU4vhPlJb12IweZuB']","['Ambition (feat. Meek Mill & Rick Ross)', 'Running Back (feat. Lil Wayne)', 'Lotus Flower Bomb (feat. Miguel)', 'Focused (feat. Kid Cudi)', 'LoveHate Thing (feat. Sam Dew)', 'The Matrimony (feat. Usher)', 'That Way (feat. Jeremih & Rick Ross)', 'On Chill (feat. Jeremih)', 'Bag of Money (feat. Rick Ross, Meek Mill & T-Pain)', 'Chillin', 'The Body (feat. Jeremih)', 'Bad (feat. Rihanna) - Remix']",12,"['2013-02-23|54', '2019-08-24|129', '2013-07-20|74', '2011-11-12|10', '2012-07-14|41', '2011-11-05|8', '2009-09-12|0', '2011-09-10|1', '2015-01-31|88', '2015-04-18|94', '2017-02-11|128', '2011-11-19|12']"
YK Osiris,7meyrw7Or5DwteYxDJrkCM,['0PQoUlzP7ILdcrzpajHXc0'],['Worth It'],1,['2019-03-02|0']
J.I the Prince of N.Y,2eqoJbzUGDwys5ENUkbT3h,['2dzja72gQodveSpguIQGJl'],['Need Me'],1,['2020-06-27|0']
Blanco Brown,3yzRiNMZdTsSUgplcyYZ4i,['2KKijf6Ett4kmVNJze2roh'],['The Git Up'],1,['2019-06-22|0']
Arizona Zervas,0vRvGUQVUjytro0xpb26bs,['696DnlkuDOXcMAnKlTgXXK'],['ROXANNE'],1,['2019-11-16|0']
j-hope,0b1sIQumIAsNbqAoIClSpy,['6wyr4ReB05D9sJB1Rsmcqo'],['Chicken Noodle Soup (feat. Becky G)'],1,['2019-10-12|0']
Kevin Gates,1gPhS1zisyXr5dHTYZyiMe,"['25AEevSO1lu4EKMIP5Sy5p', '10I3CmmwT0BkOVhduDy53o', '2IAaBzOLUtr2hqcwOItFWJ', '59XHPyb0MTMElZpkG0Wp69', '0wdKiSBUT7aZkXUIdJWcwC', '6HMHgBHdLBQ0QYIaOp2gse', '090R9OdFMbQQksvwuXmNEY']","['Change Lanes', 'Really Really', '2 Phones', 'Jam (feat. Trey Songz, Ty Dolla $ign and Jamie Foxx)', 'Let It Sing', 'By My Lonely', ""I Don't Get Tired (#IDGT) (feat. August Alsina)""]",7,"['2016-01-09|9', '2016-01-23|11', '2018-06-02|61', '2019-10-12|62', '2015-05-09|0', '2016-02-20|19']"
Jon Pardi,4MoAOfV4ROWofLG3a3hhBN,"['4ly1QBXEwYoDmje9rmEgC4', '7f08qp3HROTkfrtNpiYGGo', '5qdQPrWmZv8xYhMJCDrdHF', '0bPnT6i9H1p8Vd85GS6Z7I', '0w3Q14i073jLoew1hgJkwD']","['Heartache Medication', 'Dirt On My Boots', 'Night Shift', 'Head Over Boots', 'Heartache On The Dance Floor']",5,"['2019-10-12|91', '2016-12-24|37', '2016-03-19|13', '2019-02-09|75', '2017-07-22|57']"
French Montana,6vXTefBL93Dj5IqAWq6OTv,"['0Di26AbdtizzHkFstPyt7A', '3B54sVLJ402zGa6Xm4YGNe', '0GRSF02AmBaMoD7wBiN8Pe', '1vVNlXi8gf8tZ7OhnEs4VE', '29r4I5RTxDR440DkqhbD9s', '04MLEeAMuV9IlHEsD8vF6A', '7x9nXsowok1JszkVztI5NI', '40Zb4FZ6nS1Hj8RVfaLkCV', '7iaw359G2XT14uTfV9feip']","['Lockjaw (feat. Kodak Black)', 'Unforgettable', 'Freaks', 'A Lie', 'Slide (feat. Blueface & Lil Tjay)', 'Bad B*tch', 'Writing on the Wall (feat. Post Malone & Cardi B)', 'No Shopping', 'No Stylist (feat. Drake)']",9,"['2018-10-06|97', '2017-08-05|68', '2013-03-30|22', '2016-07-23|30', '2015-01-10|29', '2019-10-12|118', '2016-08-06|32', '2017-04-29|54', '2019-05-04|117']"
Riley Green,2QMsj4XJ7ne2hojxt6v5eb,"['7grWGhX8SHNmyGOkMNVMCt', '7Dxes6VnfbZYV0S2QTnVuT']","['I Wish Grandpas Never Died', 'There Was This Girl']",2,"['2019-03-02|0', '2020-01-11|8']"
SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,['2Wo6QQD1KMDWeFkkjLqwx5'],['Roses - Imanbek Remix'],1,['2020-04-04|1']
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,"['2YpeDb67231RjR0MgVLzsG', '4ak7xjvBeBOcJGWFDX9w5n', '4SDgTLDYrJ2UrHbkRkg7MD']","['Panini - DaBaby Remix', 'Old Town Road - Remix', 'Rodeo']",3,"['2019-03-16|0', '2019-07-06|16']"
Post Malone,246dkjvS1zLTtiykXe5h60,"['0t3ZvGKlmYmVsDzBJAXK8C', '688QpQAwqsLdBR6lr13wK1', '0H8XeaJunhvpBdBFIYi6Sh', '4H7WNRErSbONkM06blBoGc', '7xQAfvXzm3AkraOtGPWIZg', '5ffntNJnJOeFv7b7DCd0Bw', '5lZZmityu9TAjNvSY6GLhR', '2J0NXdHr6MYvKDSxB7k3V2', '75ZvA4QfFiZvzhj2xkaWAh', '2cvOfKHOHgwQlLiuLKP2xR', '05mDaV9Vb3wrzjF6OPZnhq', '5VuxWXbt7XENQCtE9TzpTv', '1ZemPoaj7LBj1RAQrb89EC', '3a1lNhkSLSkpJE4MSHpDu9', '3swc6WTsr7rl9DqQKQA55C', '2VdT56BGpdqNHUgOe1j5vc', '5KE9b4x7Zj2A8XtbkqhqTe', '7dt6x5M1jzdTEt8oCbisTK', '0Xek5rqai2jcOWCYWJfVCF', '09IOPhEh1OMe0HD9b36FJk', '4qWCFTuNnmGNdY4egtb4ZY', '6b2mfHMqWCA74XmUuVJm8r', '6IaieqiCVvsNvEt6Y7yOFa', '3fpVWegR6YOS1Yk5HSMYIq', '7CZyCXKG6d5ALeq41sLzbw', '5yuShbu70mtHXY0yLzCQLQ', '1D2L6MefbXon28PzIk9I3r', '21jGcNKet2qwijlDFuPiPb', '0MrRAUcB8AZiB9ue2VOBYe', '1YscJ7yVTlFxW3eF6pv5ba', '0R6Jlsq25eZB3Wftpxi3oF', '0KAzP1Rbp0Vz5pw8i1KDDI', '12Fkyg9lpmaz2zmKOfw2Y2', '7sWRlDoTDX8geTR8zzr2vt', '2C6WXnmZ66tHhHlnvwePiK']","['Psycho (feat. Ty Dolla $ign)', ""Takin' Shots"", 'Internet', 'Over Now', 'Take What You Want (feat. Ozzy Osbourne & Travis Scott)', 'Circles', 'Better Now', 'Staring At The Sun (feat. SZA)', 'Saint-Tropez', 'Enemies (feat. DaBaby)', 'I Fall Apart', 'Rich & Sad', 'Allergic', 'Deja Vu', ""Hollywood's Bleeding"", 'Stay', 'Goodbyes (feat. Young Thug)', 'Wow.', 'A Thousand Bad Times', 'Blame It On Me', 'Sugar Wraith', 'Paranoid', 'Zack And Codeine', 'On The Road (feat. Meek Mill & Lil Baby)', 'Same Bitches (feat. G-Eazy & YG)', 'Jonestown (Interlude)', 'Go Flex', 'Spoil My Night (feat. Swae Lee)', '92 Explorer', 'I Know', 'Die For Me (feat. Future & Halsey)', 'Ball For Me (feat. Nicki Minaj)', 'Congratulations', 'Otherside', 'Myself']",35,"['2016-05-14|30', '2018-03-10|154', '2019-01-05|302', '2019-07-20|376', '2019-09-21|399', '2016-10-01|31', '2018-05-12|179', '2019-09-14|398', '2016-12-31|32', '2017-10-14|72']"
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,"['5Y6nVaayzitvsD5F7nr3DV', '4VSg5K1hnbmIg4PwRdY6wV', '6PUIzlqotEmPuBfjbwYWOB', '24jvD83UgLmrdGjhWTFslY', '7g3htkaLz4ETFn0cifwM3y', '0mt02gJ425Xjm7c3jYkOBn', '0Oqc0kKFsQ6MhFOLBNZIGX', '1y3r6RXiJZNBV1EI0NggpS', '2nMeu6UenVvwUktBCpLMK9']","['Ultraviolence', 'Lust For Life (with The Weeknd)', 'Young And Beautiful', 'Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix', 'Shades Of Cool', ""Doin' Time"", 'High By The Beach', 'Video Games - Remastered', 'West Coast']",9,"['2017-05-13|53', '2014-06-14|45', '2014-06-21|46', '2014-05-03|44', '2013-05-11|1', '2013-07-27|12', '2012-01-28|0', '2015-08-29|48', '2019-09-14|54']"
Parker McCollum,0Z8XVUAOBPM4x12wKnFHEQ,['6vC90OOjZR165Hw8CpsqEm'],['Pretty Heart'],1,['2020-07-04|1']
TOOL,2yEwvVSSSUkcLeSTNyHKh8,"['55mJleti2WfWEFNFcBduhc', '39zWYYZStDgWi32sOU9AX4']","['Fear Inoculum', 'Schism']",2,"['2019-08-17|0', '2001-06-23|0']"
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,"['6br4Pc0BzU6dTD5fEmks2i', '4S7YHmlWwfwArgd8LfSPud', '643PW82aBMUa1FiWi5VQY7', '60Mq4EumvcSXznNugo9Op3', '7ycWLEP1GsNjVvcjawXz3z', '2N3U8uTYhjX2KwGT0pf5x0', '2rzBvHM9h36Tpdj7Jdajka', '1YmF9PvLhIISIANoMLIYGq']","['L$D', 'A$AP Forever (feat. Moby)', 'Wild for the Night (feat. Skrillex & Birdy Nam Nam)', 'Everyday (feat. Rod Stewart, Miguel & Mark Ronson)', 'Electric Body (feat. ScHoolboy Q)', 'Babushka Boi', 'Long Live A$AP', 'Praise The Lord (Da Shine) (feat. Skepta)']",8,"['2015-06-20|44', '2018-06-09|49', '2015-06-13|43', '2018-04-21|48', '2019-09-14|57', '2013-02-02|11']"
BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,['6U0FIYXCQ3TGrk4tFpLrEA'],['SUGAR'],1,['2020-01-18|0']
Tainy,0GM7qgcRCORpGnfcN2tCiB,['3jbT1Y5MoPwEIpZndDDwVq'],['Adicto (with Anuel AA & Ozuna)'],1,['2019-10-05|0']
Young Thug,50co4Is1HCEo8bhOyUWKpn,"['1jk9c0gZI0wbn5GvAj7PBV', '25oOaleife6E2MIKmFkPvg', '4cg1yakyRSIOjxKM2I7J1q', '41mzryVlFLlz6b1BCtJAjx', '1yBbxDXEfr8boXM1ubvBHi', '5I30ByMf5nhgbSokY1EZiN', '1jROHCeEzDr6VnV8EnBnik', '3pTScODwk9tggZzmuH6xDY', '6igOR5QCn09zAVF2ikZjsV', '1GeNui6m825V8jP4uKiIaH', '5KYhIFNTp4VQUqlsbLWTTu', '55OdqrG8WLmsYyY1jijD9b', '0tISnxqgVmxqhVghsTi2Rr', '33JcUj9qQDayKswunZP9ar', '0kCBorRrKZkSztd9m0QI3r', '0zNHMc1cGKe4MO5rtGtKRh', '7DcvwMAiqKJQD1rrdfxSDx', '5Z8HZM6iQMhhqyPcCGY5g9']","['Surf (feat. Gunna)', 'Just How It Is', 'Stoner', 'Hot (feat. Gunna)', 'Wyclef Jean', 'Ecstasy (feat. Machine Gun Kelly)', 'Bad Bad Bad (feat. Lil Baby)', 'With Them', 'Light It Up', 'Relationship (feat. Future)', 'Best Friend', ""What's the Move (feat. Lil Uzi Vert)"", 'The London (feat. J. Cole & Travis Scott)', 'Anybody (feat. Nicki Minaj)', 'Digits', 'Check', 'Chanel (Go Get It) [feat. Gunna & Lil Baby]', 'Sup Mate (feat. Future)']",18,"['2018-09-01|53', '2015-12-12|16', '2014-03-01|0', '2015-07-11|15', '2018-04-28|52', '2016-04-16|34', '2017-07-08|38', '2016-09-17|37', '2019-08-31|69', '2019-06-08|57']"
Normani,2cWZOOzeOm4WmBJRnD5R7I,['0rIAC4PXANcKmitJfoqmVm'],['Motivation'],1,['2019-08-31|0']
FLETCHER,5qa31A9HySw3T7MKWI9bGg,['1Pj5oOFzLYELyyeh1IYRK0'],['Undrunk'],1,['2019-03-23|0']
Rick Ross,1sBkRIssrMs1AbVkOJbc7a,"['5W7xC99N2Zzfh69r7I7zWK', '24XPxbzGwOlPKf1pdf1ZtW', '39RWgrQOBCLQH88wy0TBm9', '3n5qF6aprwEIjHWuH5jECM', '6adehXz8vMUmXWJhEIdE6e', '35QGdv6aFbIaLM0Ozr3rHt', '1KZ0Xo6Mmeprp1Sw5xCHYz', '67yGTWcR72BZvsrSS2dHST', '1rX5L6pyl3rVWb55D8Cprr', '1FfxSgLHUkNCCLdZ7wrCTY', '2rz6VejmNOpW1alXsDERp1', '0nq6sfr8z1R5KJ4XUk396e', '1PSOEWhJXNJ0NpjgedMqZ6', '3hQCHzkE5oSA3F1xM8bpcM', '39SQnz9u6zd91nZdaPmmJK', '6aD178OGxT0Z1NU36g52X5', '27mF2eUbhExYWiOT0y9cuc', '1GxvjSEB6lQOLz2KITn32r']","['Aston Martin Music', 'Diced Pineapples', 'Magnificent', 'You The Boss', 'Here I Am', 'Gold Roses (feat. Drake)', 'Super High', ""B.M.F. (Blowin' Money Fast)"", 'Trap Trap Trap (feat. Young Thug & Wale)', 'The Boss', '9 Piece', 'Sorry', 'Push It', 'Maybach Music 2', ""Hustlin'"", 'Sanctified', 'The Devil Is A Lie', 'Stay Schemin']",18,"['2006-09-16|17', '2017-04-08|153', '2009-05-09|72', '2010-07-24|78', '2008-07-12|50', '2010-08-07|80', '2012-08-18|135', '2019-08-10|154', '2012-05-05|133', '2008-03-01|31', '2011-11-05|116', '2015-12-26|152', '2006-05-20|0', '2011-05-28|114', '2009-03-21|65', '2010-06-12|77', '2014-03-22|151']"
Blueface,3Fl1V19tmjt57oBdxXKAjJ,"['5GBuCHuPKx6UC7VsSPK0t3', '4hanO6Du5J7QEguNHYZHmw']","['Daddy (feat. Rich The Kid)', 'Thotiana']",2,"['2019-01-26|0', '2019-08-10|20']"
Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,"['7uzmGiiJyRfuViKKK3lVmR', '4VUwkH455At9kENOfzTqmF', '0Rx0DJI556Ix5gBny6EWmn']","['Mine', 'Paradise', 'Beautiful (feat. Camila Cabello)']",3,"['2018-08-18|28', '2019-05-18|61', '2018-02-03|0']"
Clairo,3l0CmX0FuQjFxr8SK7Vqag,['7B3z0ySL9Rr0XvZEAjWZzM'],['Sofia'],1,['2020-10-24|0']
Dove Cameron,2W8yFh0Ga6Yf3jiayVxwkE,[],[],0,[]
Sarah Jeffery,0uqrdF1UCmMshSk6veOa5K,[],[],0,[]
NF,6fOMl44jA4Sp5b9PpYCkzz,"['52okn5MNA47tk87PeZJLEL', '5rLyYxZNzca00ENADO9m54', '7hdw5gAGMyyn9z0XgfTv1j', '2OKo7g3KfmCt3kyLvUAL0g', '3EtyEzMpfKSaoVhPunvbRV', '07FkzikE6FuHIa8Ma7zJGc', '6MxMqCgqmekcr0VwSU7AVH']","['Lie', 'When I Grow Up', 'NO NAME', 'Leave Me Alone', 'Time', 'Let You Down', 'The Search']",7,"['2018-08-04|29', '2019-08-10|52', '2019-07-13|50', '2017-11-04|0', '2019-07-27|51', '2018-02-03|14', '2019-06-15|49']"
Chance the Rapper,1anyVhU62p31KFi8MEzkbf,"['2VQc9orzwE6a5qFfy54P6e', '1g3ErLqysBJ5EIGdYYMWFZ', '3EApebexZ7YqDIqw2EMTDh', '0v9Wz8o0BT8DU38R4ddjeH', '00ko9WaS4jOX1kEk3gvHjf', '67xBtV07CC73eFw7z5oCvU']","['Hot Shower', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'I Might Need Security', 'Blessings (feat. Jamila Woods)', 'Do You Remember', 'All Day Long']",6,"['2018-08-04|0', '2019-08-10|0', '2016-06-04|0']"
Justin Moore,30e8DmahrEamvLbFRPdWmk,"['33LSgUa20mKNgeut1XwP2E', '3mSAhPW73pyeKoquI7E8B3', '5pyB5WEAEwqwl18UaBLeBl', '6cAxSUPzHyywECgGSvoLyf', '5ZMFVgZSYvbq3SmgRwaGMa', '6Vmb8Ru0BvjWGozOVGApRd', '3mHAyclWdtFASQuobdnDf8', '1TGJxtVHgPHKVt6K7sPn1T', '0aW7CSfoMBKBzLE7VerHyn', '4lSfhHd5Knwl8yQw2cVjAD', '3n2A6l4UayVe3GGKCvfQWV']","[""Lettin' The Night Roll"", 'The Ones That Didn’t Make It Back Home', 'Bait A Hook', 'Why We Drink', 'Til My Last Day', 'Small Town USA', 'Point At You', 'Backwoods', 'Somebody Else Will', ""If Heaven Wasn't So Far Away"", 'You Look Like I Need A Drink']",11,"['2017-06-24|130', '2010-03-13|20', '2012-09-29|63', '2016-08-27|122', '2014-03-08|102', '2011-04-09|33', '2013-06-15|83', '2019-06-29|143', '2011-11-12|53', '2009-06-20|0', '2020-06-13|159']"
