name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name
Age Ain't a Factor,Jaheim,5gew07PVAeMUISpX213NcD,0.422,0.765,-3.72,1,0.159,0.292,0.0,0.555,0.469,77.548,195951,4,10,0,,42,2013-09-03,0,59,939639,1,['4sbB4Yy6Qig51pKCIKSLw3'],2,4sbB4Yy6Qig51pKCIKSLw3,Jaheim
Back In My Arms,Jaheim,1tQpa3LrRqPybk4WqvulwF,0.484,0.431,-6.787,1,0.048,0.35,0.0,0.126,0.212,106.512,340408,4,15,0,,41,2016-03-18,0,59,939639,1,['4sbB4Yy6Qig51pKCIKSLw3'],0,4sbB4Yy6Qig51pKCIKSLw3,Jaheim
Ain't Leavin Without You,Jaheim,7nkIQ02m4KItFfDfWrEApi,0.741,0.754,-5.899,0,0.247,0.151,0.0,0.265,0.819,98.929,200613,4,7,0,,42,2010-02-09,0,59,939639,1,['4sbB4Yy6Qig51pKCIKSLw3'],10,4sbB4Yy6Qig51pKCIKSLw3,Jaheim
Remarkable (feat. Terry Dexter),Jaheim,35N7fmtxCKoyAPP1fShuzb,0.682,0.398,-8.716,1,0.0399,0.227,0.0,0.0684,0.259,99.743,290426,4,16,0,,38,2001-03-13,0,59,940706,2,"['4sbB4Yy6Qig51pKCIKSLw3', '0tcTyQkSJfYkSk8cZPEZxj']",8,4sbB4Yy6Qig51pKCIKSLw3,Jaheim
Sexting,Various Artists,4Wu2T4gVEKN66eTUcsRVW6,0.727,0.843,-4.37,1,0.261,0.253,0.0,0.345,0.937,87.974,191013,4,6,0,,0,2020-11-20,0,59,939639,1,['4sbB4Yy6Qig51pKCIKSLw3'],2,4sbB4Yy6Qig51pKCIKSLw3,Jaheim
Everytime I Think About Her - Radio Edit,Various Artists,0Ngw7woogi4tIs7UCQSbVP,0.673,0.833,-4.926,1,0.23,0.256,0.0,0.0875,0.604,86.488,266960,4,12,0,,0,2020-11-20,0,59,939639,1,['4sbB4Yy6Qig51pKCIKSLw3'],11,4sbB4Yy6Qig51pKCIKSLw3,Jaheim
Blackbird Song,Lee DeWyze,41FUDbrnvoc7RH0APur9jy,0.29,0.269,-9.767,0,0.0325,0.434,0.631,0.106,0.192,73.66,254853,4,10,0,,42,2014-01-01,0,46,51240,1,['1KNNZV9twnpQBqyUoGvWA6'],9,1KNNZV9twnpQBqyUoGvWA6,Lee DeWyze
Night and Day,Lee DeWyze,6AyyKBxJUChqoKa9jTDViv,0.615,0.182,-18.428,1,0.0428,0.852,0.0423,0.12,0.217,101.014,147920,4,7,0,,40,2019-10-25,0,46,51240,1,['1KNNZV9twnpQBqyUoGvWA6'],2,1KNNZV9twnpQBqyUoGvWA6,Lee DeWyze
Farmer's Daughter,Crystal Bowersox,5NoFqAN3XJh0sg5qCIET02,0.72,0.625,-6.39,1,0.0248,0.0858,0.00124,0.113,0.566,103.007,247066,4,11,0,,24,2010-12-10,0,26,16223,1,['2IgfvpRnRRvieMOYwvI7Rr'],0,2IgfvpRnRRvieMOYwvI7Rr,Crystal Bowersox
Ground Running,Will Young,2FWzDejXsMF3sYvwERZaSY,0.692,0.591,-11.173,1,0.0734,0.0143,4.65e-05,0.0868,0.642,95.053,201853,4,6,0,,43,2019-06-21,0,55,248870,1,['2U6gqwyl9F33YxawnFrZG7'],11,2U6gqwyl9F33YxawnFrZG7,Will Young
Back It Up and Dump It,Cali Swag District,2o4gZI33v8gVB1vzeJEiSn,0.727,0.659,-5.828,0,0.325,0.306,0.0,0.114,0.713,181.988,240040,4,12,0,,36,2011-07-12,0,55,75091,1,['1EeArivTpzLNCqubV95255'],10,1EeArivTpzLNCqubV95255,Cali Swag District
Wine Slow,Gyptian,5jz145Zwo1I3tZ3g018AEX,0.615,0.557,-8.698,1,0.286,0.693,0.0,0.16,0.425,119.845,154671,5,6,0,,63,2012-07-26,0,62,385707,1,['2JX4h8xm0hNxCB0aNBWzyi'],8,2JX4h8xm0hNxCB0aNBWzyi,Gyptian
Sometimes Love Just Ain't Enough,Charice,6MrDG2mrajvQqZBavSJbP6,0.414,0.26,-10.76,1,0.035,0.737,0.0,0.0828,0.17,83.652,267306,4,12,0,,57,2013-01-01,0,52,114398,1,['0AuZVHIr5WSEBbBLZwWwWc'],10,0AuZVHIr5WSEBbBLZwWwWc,Charice
Louder,Charice,0I5AI60Ts1Z1xNNjDLtW8P,0.607,0.845,-3.111,1,0.0628,0.0188,0.0,0.123,0.41,129.965,181520,4,7,0,,36,2011-05-20,0,52,114398,1,['0AuZVHIr5WSEBbBLZwWwWc'],7,0AuZVHIr5WSEBbBLZwWwWc,Charice
Rx (Medicate),Theory of a Deadman,2UZtI2HUyLRzqBjodvcUmY,0.639,0.71,-7.445,1,0.0275,0.0133,0.0,0.118,0.378,119.989,233173,4,10,0,,71,2017-10-27,0,72,1419868,1,['74eX4C98E4FCrAMl39qRsJ'],1,74eX4C98E4FCrAMl39qRsJ,Theory of a Deadman
Angel,Theory of a Deadman,2qJkesdHu9sMMVFgkRkqhQ,0.443,0.844,-5.414,0,0.0425,0.00251,0.0,0.085,0.452,76.001,202213,4,10,0,,68,2014-07-08,0,72,1419868,1,['74eX4C98E4FCrAMl39qRsJ'],11,74eX4C98E4FCrAMl39qRsJ,Theory of a Deadman
Bitch Came Back,Theory of a Deadman,6kp8F9FpHXzjga2MeRDSG8,0.58,0.877,-4.193,0,0.0395,0.00122,0.0,0.322,0.614,129.968,219360,4,8,0,,64,2011-07-08,0,72,1419868,1,['74eX4C98E4FCrAMl39qRsJ'],1,74eX4C98E4FCrAMl39qRsJ,Theory of a Deadman
Stronger (What Doesn't Kill You),Various Artists,5X2DusfdCrJvkPvLPEUa2o,0.75,0.747,-4.796,1,0.0323,0.0799,0.0,0.0977,0.49,116.038,222746,4,9,0,,0,2012-05-24,0,26,9020,1,['4USFzlJddHfaZpNeXN0JPn'],0,4USFzlJddHfaZpNeXN0JPn,The Future Hit Makers
Sing Loud,Alpha Rev,6pOFkf24NgrPlf3YV1ESfq,0.508,0.669,-8.617,1,0.0377,0.0534,4.07e-05,0.0836,0.298,139.989,278360,4,13,0,,31,2013-03-19,0,27,7305,1,['5fhX5cgW9CIJ363zTqAP3a'],7,5fhX5cgW9CIJ363zTqAP3a,Alpha Rev
Say Hello To Goodbye,Shontelle,0PybDe8JdwKYskK3mThLxx,0.44,0.603,-4.451,1,0.0267,0.0375,0.0,0.0949,0.153,80.753,232240,4,8,0,,39,2010-01-01,0,60,439761,1,['4M6Z1wubeKtwPqbjJygTOc'],1,4M6Z1wubeKtwPqbjJygTOc,Shontelle
Stuck With Each Other - Main,Shontelle,2I4CARuYmTvb5c3z0txXMZ,0.654,0.587,-9.143,1,0.0786,0.259,0.0,0.233,0.332,87.984,200800,4,7,0,,30,2009-01-01,0,83,2954469,2,"['4M6Z1wubeKtwPqbjJygTOc', '0z4gvV4rjIZ9wHck67ucSV']",10,4M6Z1wubeKtwPqbjJygTOc,Shontelle
Didn't Cha Know,Erykah Badu,7pv80uUHfocFqfTytu1MVi,0.753,0.472,-9.761,0,0.121,0.48,0.0133,0.284,0.816,135.277,238733,4,10,0,,64,2000-10-31,0,71,1943109,1,['7IfculRW2WXyzNQ8djX8WX'],3,7IfculRW2WXyzNQ8djX8WX,Erykah Badu
