name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name,release_year
We Need A Little Christmas,Idina Menzel,51d0t5OcUBxwfyvhzgOCWG,0.48,0.598,-7.35,0,0.0833,0.5660000000000001,0.0,0.304,0.52,132.388,196226,4,9,0,,0,2020-11-23,1,77,316163,1,['73Np75Wv2tju61Eo9Zw4IR'],0,73Np75Wv2tju61Eo9Zw4IR,Idina Menzel,2020
That's The Way Love Goes,Various Artists,5uCo4Vrxbgaw5BMTTj0XEh,0.6709999999999999,0.879,-4.063,1,0.0693,0.11699999999999999,0.302,0.0835,0.552,97.65899999999999,266346,4,9,0,,0,2020-11-23,16,71,2258459,1,['4qwGe91Bz9K2T8jXTZ815W'],5,4qwGe91Bz9K2T8jXTZ815W,Janet Jackson,2020
Mi Persona Favorita,Various Artists,3m11fpBbMuN86yiLgKBThx,0.581,0.659,-7.511,1,0.11599999999999999,0.5379999999999999,0.0,0.0656,0.5770000000000001,155.945,239972,4,7,0,,0,2020-11-23,0,87,23476779,2,"['5sUrlPAHlS9NEirDB8SEbF', '4nDoRrQiYLoBzwC5BhVJzF']",8,5sUrlPAHlS9NEirDB8SEbF,Alejandro Sanz,2020
Hello,Various Artists,51KsgdeWRFW8ws8kcsMUMi,0.509,0.537,-8.695,0,0.0361,0.24100000000000002,2.57e-06,0.10800000000000001,0.159,124.15100000000001,270466,4,10,0,,0,2020-11-23,35,75,2097972,2,"['3gMaNLQm7D9MornNILzdSl', '2WV4xLQooFalR2cit0XSKp']",9,3gMaNLQm7D9MornNILzdSl,Lionel Richie,2020
Vibez (A #BlackOwnedFriday Jingle),Wyclef Jean,4j92bB3oxTWBkS4LxNM7C2,0.8540000000000001,0.585,-10.818,0,0.17600000000000002,0.114,1.67e-06,0.126,0.85,99.99700000000001,62205,4,3,0,,0,2020-11-22,37,73,229079,1,['7aBzpmFXB4WWpPl2F7RjBe'],0,7aBzpmFXB4WWpPl2F7RjBe,Wyclef Jean,2020
Where You Wanna Be,Various Artists,4n9meKqPJuwCT4AEBjStWp,0.616,0.6,-8.164,0,0.0466,0.45299999999999996,2.4100000000000003e-05,0.14800000000000002,0.778,76.99,212626,4,8,0,,0,2020-11-20,113,71,1882734,1,['05oH07COxkXKIMt6mIPRee'],2,05oH07COxkXKIMt6mIPRee,Brandy,2020
Selection,Lil Tecca,27T7FohkFw60N5hF8inicb,0.659,0.6829999999999999,-8.419,1,0.105,0.0548,3.05e-05,0.14,0.887,86.006,100773,4,5,0,,22,2020-11-20,8,84,10755154,3,"['4Ga1P7PMIsmqEZqhYZQgDo', '5he5w2lnU9x7JFhnwcekXX', '1m7LSAMIB1BErIHYSOn32W']",8,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,2020
God Bless America,Various Artists,4VETwYFeLLwkSMXhaT8jyI,0.536,0.27399999999999997,-8.451,1,0.0273,0.7609999999999999,0.0,0.133,0.5760000000000001,73.633,73130,4,4,0,,0,2020-11-20,0,62,846976,1,['0oBEeN6BCxEgMogzThqrPf'],9,0oBEeN6BCxEgMogzThqrPf,Big & Rich,2020
Take,Augustana,2h9ZsL3usjina4FIHGPIPv,0.73,0.43700000000000006,-14.26,1,0.0431,0.3,3.92e-06,0.344,0.583,111.96799999999999,212008,4,8,0,,34,2020-11-20,24,55,181814,1,['61YE3whKiuRr83j1yOm5M7'],4,61YE3whKiuRr83j1yOm5M7,Augustana,2020
The Lighthouse Keeper,Sam Smith,2WUVQQAsWvScEdBVilRYaR,0.39399999999999996,0.17,-10.368,1,0.0451,0.889,0.0,0.105,0.315,130.721,247493,3,11,0,,66,2020-11-20,219,92,14407955,1,['2wY79sveU1sp5g7SokKOiI'],0,2wY79sveU1sp5g7SokKOiI,Sam Smith,2020
The Bottom,Various Artists,7uG5eVOpH9eeDoHZiOI1PK,0.573,0.782,-3.622,1,0.0523,0.00035800000000000003,0.007659999999999999,0.0798,0.42700000000000005,137.983,255520,4,8,0,,0,2020-11-20,142,69,1656763,1,['5KDIH2gF0VpelTqyQS7udb'],6,5KDIH2gF0VpelTqyQS7udb,Staind,2020
Drinkin' Dark Whiskey,Gary Allan,4n6aKporCklkN4awoLpcG8,0.479,0.95,-4.092,1,0.158,0.0755,0.0,0.0716,0.677,173.921,181560,4,10,0,,10,2020-11-20,150,62,747896,1,['37W8SKV5Vc8lcGtdyWCA5m'],2,37W8SKV5Vc8lcGtdyWCA5m,Gary Allan,2020
Don't Tell Mama,Gary Allan,2qW0G4izVR0lcFpdxbaTmh,0.461,0.5,-7.912999999999999,1,0.0272,0.5489999999999999,1.7100000000000002e-05,0.0973,0.361,94.725,236666,4,12,0,,10,2020-11-20,150,62,747896,1,['37W8SKV5Vc8lcGtdyWCA5m'],5,37W8SKV5Vc8lcGtdyWCA5m,Gary Allan,2020
It Would Be You,Gary Allan,7khkDxtgme5khLDW2jDtoF,0.5579999999999999,0.5579999999999999,-5.513999999999999,1,0.0362,0.456,0.0,0.0826,0.276,140.715,174386,4,10,0,,11,2020-11-20,150,62,747896,1,['37W8SKV5Vc8lcGtdyWCA5m'],7,37W8SKV5Vc8lcGtdyWCA5m,Gary Allan,2020
Bourbon Borderline,Gary Allan,32kC0U0a2MwYccgaYQNVTD,0.36700000000000005,0.426,-7.41,1,0.0321,0.7020000000000001,1.46e-06,0.11800000000000001,0.311,154.34,168017,4,7,0,,10,2020-11-20,150,62,747896,1,['37W8SKV5Vc8lcGtdyWCA5m'],6,37W8SKV5Vc8lcGtdyWCA5m,Gary Allan,2020
Polvo,Nicky Jam,68mrW6gXHgupgSiDHgaDi5,0.763,0.621,-6.169,0,0.066,0.0105,2.94e-06,0.106,0.5820000000000001,82.042,211130,4,5,0,,70,2020-11-20,30,95,16797220,2,"['1SupJlEpv7RS2tPNRaHViT', '7iK8PXO48WeuP03g8YR51W']",11,1SupJlEpv7RS2tPNRaHViT,Nicky Jam,2020
Punto G,Various Artists,6wQo9JJJQ6jHta9wdTqU4d,0.7909999999999999,0.746,-4.716,1,0.0907,0.00938,0.000125,0.125,0.903,165.99400000000003,183160,4,12,0,,0,2020-11-20,0,90,13056009,1,['790FomKkXshlbRYZFtlgla'],6,790FomKkXshlbRYZFtlgla,KAROL G,2020
Out Of Love,Lil Tecca,5zBhzZ0eHqOHqnAhSQdMkt,0.732,0.654,-6.136,0,0.045,0.102,0.0,0.215,0.369,138.049,153597,4,5,0,,24,2020-11-20,8,89,3213518,2,"['4Ga1P7PMIsmqEZqhYZQgDo', '6MPCFvOQv5cIGfw3jODMF0']",7,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,2020
Nashville Without You,Tim McGraw,02n8eL1VMBDmZ88GSaZEmz,0.479,0.6940000000000001,-7.005,1,0.0359,0.242,2.27e-05,0.11,0.36,168.96900000000002,217933,4,11,0,,24,2020-11-20,684,77,3368973,1,['6roFdX1y5BYSbp60OTJWMd'],11,6roFdX1y5BYSbp60OTJWMd,Tim McGraw,2020
Drive,Tim McGraw,24jyuqPJFVTKEK15smrh7g,0.462,0.723,-6.681,0,0.0307,0.0989,0.00495,0.109,0.419,83.47,238573,4,14,0,,21,2020-11-20,684,77,3368973,1,['6roFdX1y5BYSbp60OTJWMd'],3,6roFdX1y5BYSbp60OTJWMd,Tim McGraw,2020
The First Noel,Various Artists,6d68ZnAEbpfALwkx4LYB8R,0.605,0.38,-11.312000000000001,1,0.0435,0.39399999999999996,0.0,0.134,0.409,119.81,236306,3,16,0,,0,2020-11-20,67,65,813319,1,['3UVRliakQfa1pMWIsNuiZ8'],1,3UVRliakQfa1pMWIsNuiZ8,Musiq Soulchild,2020
loveofmylife,Various Artists,23C8ZF1CmSoIxTdxvsef4J,0.47200000000000003,0.779,-4.13,0,0.131,0.00905,0.0,0.22399999999999998,0.316,119.32600000000001,313253,4,13,0,,0,2020-11-20,67,65,813319,1,['3UVRliakQfa1pMWIsNuiZ8'],7,3UVRliakQfa1pMWIsNuiZ8,Musiq Soulchild,2020
"Kiss Me Babe, It's Christmas Time",Various Artists,4AWSuGhvZh0H6Wzk5TMATn,0.705,0.5670000000000001,-7.053999999999999,1,0.0306,0.0199,0.0,0.0937,0.562,105.96,229033,4,11,0,,0,2020-11-20,36,74,1995851,1,['07QEuhtrNmmZ0zEcqE9SF6'],0,07QEuhtrNmmZ0zEcqE9SF6,Owl City,2020
Believe,Various Artists,0OY2nUoGkZZNLl4pvXowtK,0.653,0.9329999999999999,-6.041,1,0.0522,0.007540000000000001,0.0,0.0574,0.429,132.965,238693,4,9,0,,0,2020-11-20,0,74,1809150,1,['72OaDtakiy6yFqkt4TsiFt'],6,72OaDtakiy6yFqkt4TsiFt,Cher,2020
You're So Real,Various Artists,3yG2kp1KQYA87gBmgP03FW,0.46399999999999997,0.875,-4.357,1,0.0429,0.0019199999999999998,0.0,0.105,0.868,132.773,178733,4,9,0,,0,2020-11-20,0,71,1701039,1,['3Ngh2zDBRPEriyxQDAMKd1'],11,3Ngh2zDBRPEriyxQDAMKd1,Matchbox Twenty,2020
Our Song,Various Artists,0mMczZYfRMLru7cuPVeynN,0.57,0.963,-3.54,1,0.0844,0.0197,0.0,0.10400000000000001,0.9109999999999999,160.025,180946,4,6,0,,0,2020-11-20,0,71,1701039,1,['3Ngh2zDBRPEriyxQDAMKd1'],7,3Ngh2zDBRPEriyxQDAMKd1,Matchbox Twenty,2020
GTA (feat. 42 Dugg),Meek Mill,7wAFfH245FJP77ZugGVISe,0.7759999999999999,0.563,-4.887,1,0.163,0.14400000000000002,0.0,0.174,0.252,92.54799999999999,150486,4,6,0,,66,2020-11-20,167,83,4721234,2,"['20sxb77xiYeusSH8cVdatc', '45gHcnDnMC15sgx3VL7ROG']",8,20sxb77xiYeusSH8cVdatc,Meek Mill,2020
Pain Away (feat. Lil Durk),Meek Mill,1SBgI8NDCkKLFFQgwzmsVX,0.42100000000000004,0.609,-6.4670000000000005,0,0.0594,0.0751,0.0,0.12,0.105,80.611,196626,4,5,0,,63,2020-11-20,167,88,6490880,2,"['20sxb77xiYeusSH8cVdatc', '3hcs9uc56yIGFCSy9leWe7']",1,20sxb77xiYeusSH8cVdatc,Meek Mill,2020
Foreign,Lil Tecca,7lEohhuQEIPNgslgANrO2g,0.6559999999999999,0.473,-9.708,0,0.0659,0.00424,0.0,0.0662,0.37799999999999995,130.056,133773,4,6,0,,23,2020-11-20,8,90,5303593,2,"['4Ga1P7PMIsmqEZqhYZQgDo', '7rkW85dBwwrJtlHRDkJDAC']",1,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,2020
Anywhere - No Rap Mix,Various Artists,2S8jhoQnFyiP3aFUNT1sjN,0.703,0.7959999999999999,-5.67,0,0.0537,0.092,2e-06,0.22,0.784,96.81700000000001,281866,4,10,0,,0,2020-11-20,110,70,748652,1,['7urq0VfqxEYEEiZUkebXT4'],10,7urq0VfqxEYEEiZUkebXT4,112,2020
Think It's A Game (feat. Vory),Meek Mill,5ydEtIZhMGpQy7UsmSmzJO,0.563,0.49200000000000005,-7.797999999999999,0,0.266,0.373,0.0,0.0904,0.379,79.814,222000,4,12,0,,57,2020-11-20,167,83,4600875,2,"['20sxb77xiYeusSH8cVdatc', '0GeeIVcvGA8GSlWsoY1dkG']",2,20sxb77xiYeusSH8cVdatc,Meek Mill,2020
Bonita,Various Artists,3FDjxz3eAa8dcCk3J63LKc,0.774,0.873,-1.587,0,0.0418,0.0153,0.00506,0.293,0.845,96.03299999999999,265933,4,11,0,,1,2020-11-20,58,98,26522569,2,"['1vyhD5VmyZ7KMfW5gqLgo5', '4IMAo2UQchVFyPH24PAjUs']",5,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,2020
Good Thangs,Various Artists,7ssZEb9bfo7ASlB5vpfuJJ,0.772,0.599,-3.8739999999999997,0,0.0328,0.0713,0.000672,0.0885,0.762,85.024,303400,4,12,0,,0,2020-11-20,68,63,707752,1,['6gbGGM0E8Q1hE511psqxL0'],8,6gbGGM0E8Q1hE511psqxL0,Ray J,2020
Keep Your Head up - Radio Edit,Various Artists,4oMQXeu3aQuKlwz2GXHYs6,0.7020000000000001,0.41600000000000004,-7.707000000000001,0,0.20800000000000002,0.0613,0.0,0.152,0.57,128.09799999999998,276493,4,11,0,,0,2020-11-20,68,63,707752,1,['6gbGGM0E8Q1hE511psqxL0'],11,6gbGGM0E8Q1hE511psqxL0,Ray J,2020
Your Girl,Loren Allred,4H0IQAUWbrAH9NhB5lGZqf,0.503,0.555,-7.305,1,0.10300000000000001,0.6659999999999999,0.0,0.35100000000000003,0.45799999999999996,153.89,162100,3,8,0,,14,2020-11-20,1,66,78278,1,['0LyOADBjj28cbvJWTXUEGA'],9,0LyOADBjj28cbvJWTXUEGA,Loren Allred,2020
I Know You Care,Various Artists,4H2cx0FtMmnnLF3YmTnmQW,0.4,0.268,-12.31,1,0.0363,0.971,0.0,0.12300000000000001,0.289,99.41,206400,1,9,0,,1,2020-11-20,183,84,8649869,1,['0X2BH1fck6amBIoJhDVmmJ'],9,0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,2020
Vincent,Ellie Goulding,3pRvdEw3sWS8VtfKiwOn9l,0.55,0.217,-10.44,1,0.0375,0.922,1.85e-06,0.16899999999999998,0.462,105.74700000000001,223560,4,11,0,,18,2020-11-20,183,84,8649869,1,['0X2BH1fck6amBIoJhDVmmJ'],11,0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,2020
Pick Up Your Feelings,Jazmine Sullivan,2JLVZYEMmqPWbUoAJAMKfm,0.7290000000000001,0.414,-6.138,0,0.0565,0.29100000000000004,0.0,0.0793,0.565,85.729,232096,3,10,0,,58,2020-11-20,43,67,1149256,1,['7gSjFKpVmDgC2MMsnN8CYq'],7,7gSjFKpVmDgC2MMsnN8CYq,Jazmine Sullivan,2020
How Long Will I Love You,Ellie Goulding,1uaBmbR4w55DPwSvWNQzk2,0.401,0.304,-9.19,1,0.0331,0.295,0.0006450000000000001,0.11800000000000001,0.17300000000000001,61.246,154435,5,5,0,,18,2020-11-20,183,84,8649869,1,['0X2BH1fck6amBIoJhDVmmJ'],0,0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,2020
The Writer,Ellie Goulding,4j9VAyVakG6m07OjsXInUK,0.302,0.657,-5.325,1,0.0349,0.16399999999999998,0.0,0.11699999999999999,0.266,104.913,251280,3,10,0,,17,2020-11-20,183,84,8649869,1,['0X2BH1fck6amBIoJhDVmmJ'],9,0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,2020
Safari,Various Artists,1UfS1PhvHvV2D5U6r3Y6Ap,0.6890000000000001,0.675,-4.281000000000001,1,0.32,0.531,3.17e-06,0.115,0.604,180.077,205600,4,10,0,,1,2020-11-20,58,98,27406133,4,"['1vyhD5VmyZ7KMfW5gqLgo5', '2RdwBSPQiwcmiDo9kixcl8', '6veh5zbFpm31XsPdjBgPER', '0JWemE0N1N3nwrtMNg2eMO']",0,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,2020
Azul,Various Artists,2jWKswoGzgtxpxSYcpYY5z,0.8420000000000001,0.828,-2.495,0,0.0696,0.10099999999999999,0.00179,0.0579,0.653,94.015,206373,4,10,0,,2,2020-11-20,58,98,24003890,1,['1vyhD5VmyZ7KMfW5gqLgo5'],6,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,2020
Spoonman,Various Artists,6x9qyYylnVQprg0b5g8WOq,0.258,0.904,-5.625,1,0.0386,2.2e-05,0.218,0.255,0.8320000000000001,186.054,246920,3,14,0,,1,2020-11-20,0,72,2744053,1,['5xUf6j4upBrXZPg6AI4MRK'],0,5xUf6j4upBrXZPg6AI4MRK,Soundgarden,2020
Somos Iguales,Various Artists,4yzXi2gQ1eRcRZJASU7UDX,0.777,0.7140000000000001,-4.296,1,0.0532,0.16,0.0,0.115,0.59,90.98700000000001,236586,4,12,0,,0,2020-11-20,0,90,6204929,2,"['0EFisYRi20PTADoJrifHrz', '21451j1KhjAiaYKflxBjr1']",11,0EFisYRi20PTADoJrifHrz,Jhay Cortez,2020
Tranquila,Various Artists,4ewP3RpttxBfLqHJ4Fuupf,0.72,0.669,-6.244,0,0.207,0.0334,0.0,0.147,0.6679999999999999,175.93400000000003,199946,4,9,0,,1,2020-11-20,58,98,24003890,1,['1vyhD5VmyZ7KMfW5gqLgo5'],4,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,2020
September 7th,YFN Lucci,2F7pkbc0nOApyupocwrChx,0.524,0.6970000000000001,-7.827999999999999,0,0.37799999999999995,0.113,0.0,0.23399999999999999,0.442,93.009,131961,4,5,0,,44,2020-11-20,31,71,1653715,1,['5Berubt6ysOy2LCMyqhmXP'],6,5Berubt6ysOy2LCMyqhmXP,YFN Lucci,2020
Brillo,Various Artists,7FSv6GOVOyGoqtPksSchXz,0.524,0.384,-10.049,0,0.36,0.89,0.0,0.0964,0.768,145.947,159573,4,9,0,,0,2020-11-20,58,98,28261267,2,"['1vyhD5VmyZ7KMfW5gqLgo5', '7ltDVBr6mKbRvohxheJ9h1']",9,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,2020
Let It Go,Various Artists,4ScLGY84AbvkfU0QSkr4hj,0.826,0.546,-4.488,1,0.0377,0.19399999999999998,0.00307,0.10400000000000001,0.8190000000000001,93.03200000000001,345093,4,16,0,,0,2020-11-20,68,63,707752,1,['6gbGGM0E8Q1hE511psqxL0'],0,6gbGGM0E8Q1hE511psqxL0,Ray J,2020
Hitman,Kelly Rowland,5sMt9VtgtuakJOUSvVMzhG,0.648,0.877,-4.354,0,0.0438,0.00456,8.23e-06,0.21899999999999997,0.8290000000000001,98.025,194306,4,10,0,,51,2020-11-20,77,72,2454549,2,"['3AuMNF8rQAKOzjYppFNAoB', '1oj9F8x44ah5gxYecEj8ch']",10,3AuMNF8rQAKOzjYppFNAoB,Kelly Rowland,2020
Dopamine,Various Artists,1rzqWy7v2vpRacI2Uf5FTs,0.574,0.718,-7.644,0,0.0337,0.309,1.6e-06,0.109,0.316,125.97399999999999,179481,3,7,0,,1,2020-11-20,0,69,698558,2,"['7keGfmQR4X5w0two1xKZ7d', '0CwAIKaq06Ep8gtTJ6zy0d']",6,7keGfmQR4X5w0two1xKZ7d,Kungs,2020
You Were Meant For Me,Jewel,2FKgJjKq53bKXAwNnROCrb,0.609,0.205,-14.363,1,0.0371,0.797,0.0,0.106,0.387,111.556,254045,4,12,0,,33,2020-11-20,55,64,479975,1,['6FbDoZnMBTdhhhLuJBOOqP'],6,6FbDoZnMBTdhhhLuJBOOqP,Jewel,2020
Who Will Save Your Soul,Jewel,0kdQkoOqhaWWWtS4uKdUpp,0.6809999999999999,0.38,-13.267999999999999,1,0.0412,0.722,0.0008869999999999999,0.0977,0.773,126.18,241130,4,9,0,,36,2020-11-20,55,64,479975,1,['6FbDoZnMBTdhhhLuJBOOqP'],7,6FbDoZnMBTdhhhLuJBOOqP,Jewel,2020
Fades Away,Various Artists,79zcGC2ps6HmBGFKreTaXH,0.546,0.527,-8.308,1,0.0572,0.22699999999999998,2.74e-06,0.0812,0.23199999999999998,134.47299999999998,178958,4,8,0,,3,2020-11-20,103,86,18518936,2,"['1vCWHaC5f2uS3yhpwWbIA6', '1vIuPjtFhqIPE2n9W2ePgO']",0,1vCWHaC5f2uS3yhpwWbIA6,Avicii,2020
Drunk Dialing - Acapella,Summer Walker,1wuorLmcDE9uVlzy8MZYf1,0.63,0.179,-10.258,1,0.18,0.907,0.0,0.0942,0.47700000000000004,111.15799999999999,74120,5,4,0,,37,2020-11-20,39,82,1770135,1,['57LYzLEk2LcFghVwuWbcuS'],9,57LYzLEk2LcFghVwuWbcuS,Summer Walker,2020
Tonight - Acapella,Summer Walker,12nNI0nswIOP5aPSyOcsUA,0.47100000000000003,0.257,-7.95,0,0.0433,0.845,0.0,0.102,0.414,103.58200000000001,153042,4,5,0,,36,2020-11-20,39,82,1770135,1,['57LYzLEk2LcFghVwuWbcuS'],5,57LYzLEk2LcFghVwuWbcuS,Summer Walker,2020
Famous Friends,Chris Young,4iXDn9pu5Q9sxv45vE8Lak,0.5329999999999999,0.855,-2.9010000000000002,1,0.0356,0.0553,0.0,0.335,0.64,102.01700000000001,165569,4,7,0,,59,2020-11-20,218,83,4952532,2,"['4BYxqVkZyFjtik7crYLg5Q', '3oSJ7TBVCWMDMiYjXNiCKE']",6,4BYxqVkZyFjtik7crYLg5Q,Chris Young,2020
Sexting,Various Artists,4Wu2T4gVEKN66eTUcsRVW6,0.727,0.843,-4.37,1,0.261,0.253,0.0,0.345,0.937,87.97399999999999,191013,4,6,0,,0,2020-11-20,118,59,939639,1,['4sbB4Yy6Qig51pKCIKSLw3'],2,4sbB4Yy6Qig51pKCIKSLw3,Jaheim,2020
Everytime I Think About Her - Radio Edit,Various Artists,0Ngw7woogi4tIs7UCQSbVP,0.6729999999999999,0.833,-4.926,1,0.23,0.256,0.0,0.0875,0.604,86.488,266960,4,12,0,,0,2020-11-20,118,59,939639,1,['4sbB4Yy6Qig51pKCIKSLw3'],11,4sbB4Yy6Qig51pKCIKSLw3,Jaheim,2020
Middle of It (feat. Vory),Meek Mill,7pAx4fG3EJzPyZkqPVvy4n,0.741,0.6659999999999999,-3.938,0,0.228,0.11900000000000001,0.0,0.175,0.276,148.887,206196,4,10,0,,60,2020-11-20,167,83,4600875,2,"['20sxb77xiYeusSH8cVdatc', '0GeeIVcvGA8GSlWsoY1dkG']",1,20sxb77xiYeusSH8cVdatc,Meek Mill,2020
Clockwatching,Various Artists,56wndzQrtPbq6SaHRL64Tl,0.624,0.708,-6.564,1,0.0555,0.107,3.5000000000000004e-06,0.113,0.669,146.014,263466,4,10,0,,0,2020-11-20,173,80,5675130,1,['4phGZZrJZRo4ElhRtViYdl'],7,4phGZZrJZRo4ElhRtViYdl,Jason Mraz,2020
I'm Yours - Radio Edit,Various Artists,1rzN2uKQG734xpYZeoSSXW,0.682,0.433,-8.742,1,0.0544,0.593,0.0,0.139,0.732,151.017,214213,4,13,0,,0,2020-11-20,173,80,5675130,1,['4phGZZrJZRo4ElhRtViYdl'],11,4phGZZrJZRo4ElhRtViYdl,Jason Mraz,2020
Love Me,Various Artists,27usuQxj56TXuuzZzl7668,0.654,0.8170000000000001,-5.897,1,0.153,0.124,1.18e-05,0.156,0.65,90.064,257333,4,13,0,,0,2020-11-20,110,70,1224530,2,"['7urq0VfqxEYEEiZUkebXT4', '1wiBLzTI7z9RUwEpNPdFT6']",0,7urq0VfqxEYEEiZUkebXT4,112,2020
El Amante,Various Artists,5xalGolTkEbeK31OIlOhb5,0.633,0.7490000000000001,-4.962,0,0.0961,0.179,0.0,0.0783,0.8140000000000001,179.872,220546,4,11,0,,1,2020-11-20,85,93,24373315,2,"['4VMYDCV2IEDYJArk749S6m', '6XFITTl7cFTdopDY3lUdlY']",1,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,2020
Déjala Caer,Various Artists,1j6gPROwijV1kqmqUHOASr,0.68,0.889,-5.023,1,0.129,0.0703,0.000681,0.26,0.809,186.033,191546,4,9,0,,0,2020-11-20,85,93,20829178,1,['4VMYDCV2IEDYJArk749S6m'],11,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,2020
Llegamos A La Disco,Various Artists,3ZbpoqE6CynUjF6qohlmfu,0.722,0.79,-4.89,1,0.258,0.107,0.0,0.475,0.7859999999999999,88.99,453466,4,22,0,,1,2020-11-20,85,93,43454094,8,"['4VMYDCV2IEDYJArk749S6m', '3EiLUeyEcA6fbRPSHkG5kb', '329e4yvIujISKGKz1BZZbO', '12vb80Km0Ew53ABfJOepVz', '4SsVbpTthjScTS7U2hmr1X', '3IEvQoAohcGX7CdrbtIle7', '2Y6klg1vvEktRN9oscr2TS', '2rTqhyJsi7l2q4c2HAs4VY']",0,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,2020
Lovumba,Various Artists,7LJ9pkqljpkKaNmWHYLvew,0.73,0.9390000000000001,-4.665,0,0.0532,0.0347,0.0,0.335,0.9390000000000001,121.001,218520,4,9,0,,0,2020-11-20,85,93,20829178,1,['4VMYDCV2IEDYJArk749S6m'],11,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,2020
No Flash,Rich The Kid,3DhQknNJsPtkRj1D7bxjvl,0.57,0.606,-6.864,1,0.436,0.20800000000000002,0.0,0.102,0.521,77.061,141692,4,8,0,,63,2020-11-20,39,89,8199996,2,"['1pPmIToKXyGdsCF6LmqLmI', '7wlFDEWiM5OoIAt8RSli8b']",6,1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,2020
NEW GIRL,Various Artists,4zq5g47FcSRx3E2tzal1KY,0.727,0.867,-5.627000000000001,1,0.0707,0.012,1.63e-05,0.235,0.5920000000000001,122.056,202360,4,10,0,,0,2020-11-20,40,68,690246,1,['0FWzNDaEu9jdgcYTbcOa4F'],2,0FWzNDaEu9jdgcYTbcOa4F,3OH!3,2020
Boots,Lady A,63dYBOtCHZXeVVyiTLe4lR,0.489,0.884,-5.393,1,0.0442,0.00112,1.3500000000000001e-05,0.096,0.491,126.051,213333,4,11,0,,21,2020-11-20,1,75,3100482,1,['32WkQRZEVKSzVAAYqukAEA'],8,32WkQRZEVKSzVAAYqukAEA,Lady A,2020
You Can Do You,Lady A,1z4LpI41HyuBFolVtPofTz,0.46799999999999997,0.9209999999999999,-4.841,1,0.0706,0.105,0.0,0.0534,0.812,161.958,248497,4,13,0,,22,2020-11-20,1,75,3100482,1,['32WkQRZEVKSzVAAYqukAEA'],8,32WkQRZEVKSzVAAYqukAEA,Lady A,2020
Be Patient With My Love,Lady A,1P0kE969gRNeidQqoXHXuL,0.35700000000000004,0.385,-7.335,1,0.0319,0.358,0.0,0.48700000000000004,0.128,122.87200000000001,306665,3,12,0,,22,2020-11-20,1,75,3100482,1,['32WkQRZEVKSzVAAYqukAEA'],0,32WkQRZEVKSzVAAYqukAEA,Lady A,2020
Mansion,Lady A,2lvvCWzS8VhkkRbVKEODqj,0.5670000000000001,0.638,-5.977,1,0.0311,0.252,5.52e-06,0.1,0.45899999999999996,76.03399999999999,192106,4,7,0,,21,2020-11-20,1,75,3100482,1,['32WkQRZEVKSzVAAYqukAEA'],7,32WkQRZEVKSzVAAYqukAEA,Lady A,2020
The Thing That Wrecks You,Lady A,2KEBmBVW7bY2hmwRc3VcVd,0.474,0.474,-7.337000000000001,1,0.0265,0.34700000000000003,2.75e-05,0.10400000000000001,0.131,101.046,275133,4,11,0,,22,2020-11-20,1,75,5044232,2,"['32WkQRZEVKSzVAAYqukAEA', '3CygdxquGHurS7f9LjNLkv']",2,32WkQRZEVKSzVAAYqukAEA,Lady A,2020
Champagne Night - Tiki Bar Version,Lady A,1AjG24L8zkolIJYuIiQzQw,0.659,0.7809999999999999,-5.271,1,0.0442,0.102,1.06e-06,0.22899999999999998,0.835,75.042,185987,4,7,0,,22,2020-11-20,1,75,3100482,1,['32WkQRZEVKSzVAAYqukAEA'],4,32WkQRZEVKSzVAAYqukAEA,Lady A,2020
Pictures,Lady A,1rIgNoHXi1NKBN1LgDb9fr,0.6709999999999999,0.685,-5.825,1,0.0248,0.0377,1.7100000000000002e-05,0.243,0.789,97.007,178628,4,7,0,,24,2020-11-20,1,75,3100482,1,['32WkQRZEVKSzVAAYqukAEA'],0,32WkQRZEVKSzVAAYqukAEA,Lady A,2020
