name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name,release_year
man i is,Logic,0ERnYArznxdTBEIj1VSta8,0.754,0.778,-2.745,0,0.134,0.365,6.96e-05,0.152,0.95,74.999,269231,4,7,0,,65,2020-07-24,75,85,5025435,1,['4xRYI6VqpkE3UwrDrAZL8L'],10,4xRYI6VqpkE3UwrDrAZL8L,Logic,2020
GP4,Logic,1OmmCrliFMIWzNke437KHE,0.809,0.684,-3.5780000000000003,0,0.273,0.282,1.44e-06,0.24100000000000002,0.857,85.009,274060,4,10,0,,64,2020-07-24,75,85,5025435,1,['4xRYI6VqpkE3UwrDrAZL8L'],6,4xRYI6VqpkE3UwrDrAZL8L,Logic,2020
Soul Food II,Logic,7e0nXDIIa6hFqI4HmuanLP,0.457,0.909,-4.749,0,0.32799999999999996,0.13,0.0,0.48,0.615,87.412,333777,4,9,0,,65,2020-07-24,75,85,5025435,1,['4xRYI6VqpkE3UwrDrAZL8L'],6,4xRYI6VqpkE3UwrDrAZL8L,Logic,2020
Open Mic\\Aquarius III,Logic,4L6QpiLxCLok9wZfFIdiqF,0.7509999999999999,0.9159999999999999,-3.917,1,0.256,0.16899999999999998,0.0,0.366,0.745,89.876,303930,4,11,0,,63,2020-07-24,75,85,5025435,1,['4xRYI6VqpkE3UwrDrAZL8L'],0,4xRYI6VqpkE3UwrDrAZL8L,Logic,2020
No Pressure Intro,Logic,41hwbZ1yF705MxJ7H9bwEu,0.794,0.845,-6.117999999999999,1,0.387,0.37200000000000005,0.0,0.124,0.831,93.939,174900,4,7,0,,66,2020-07-24,75,85,5025435,1,['4xRYI6VqpkE3UwrDrAZL8L'],1,4xRYI6VqpkE3UwrDrAZL8L,Logic,2020
RELENTLESS (feat. Lil Uzi Vert),Gunna,6nDSLDomNqfet6w0r1GHAz,0.8809999999999999,0.517,-8.916,1,0.308,0.0115,0.0,0.151,0.7859999999999999,115.084,168106,4,9,0,,74,2020-07-24,3,93,12799657,2,"['2hlmm7s2ICUX0LVIhVFlZQ', '4O15NlyKLIASxsJ0PrXPfz']",4,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,2020
200 FOR LUNCH,Gunna,6SpBKyfn9BnvnoQbUGPlYM,0.745,0.662,-8.924,1,0.248,0.27699999999999997,0.0,0.425,0.787,127.915,149106,4,7,0,,62,2020-07-24,3,93,2640627,1,['2hlmm7s2ICUX0LVIhVFlZQ'],0,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,2020
SUN CAME OUT,Gunna,4vCxUFx6YwGoqICQK8DmiM,0.8270000000000001,0.5670000000000001,-10.232000000000001,0,0.155,0.11699999999999999,0.0,0.23,0.866,129.98,136613,4,6,0,,63,2020-07-24,3,93,2640627,1,['2hlmm7s2ICUX0LVIhVFlZQ'],5,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,2020
GIVE HEAVEN SOME HELL,HARDY,5nra2uQhiaYKKpemgiDNC3,0.639,0.843,-4.975,1,0.0362,0.0525,0.0,0.0854,0.528,126.04700000000001,217801,4,6,0,,72,2020-07-24,0,73,61581,1,['5QNm7E7RU2m64l6Gliu8Oy'],11,5QNm7E7RU2m64l6Gliu8Oy,HARDY,2020
Celebration,Logic,1zjSuvvLpPoJwnywiFIX7E,0.44,0.968,-3.068,0,0.301,0.00534,0.0,0.757,0.503,179.827,230435,4,10,0,,62,2020-07-24,75,85,5025435,1,['4xRYI6VqpkE3UwrDrAZL8L'],1,4xRYI6VqpkE3UwrDrAZL8L,Logic,2020
