name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name
Big Pimpin',JAY-Z,7m97yKVzPpXV9Z4ezEziOD,0.88,0.8140000000000001,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,283066,4,10,1,2000-04-22,66,1999-12-28,37,87,6296662,2,"['3nFkdlSjzX9mRTtwJOzDYB', '6ZhjJOJXXwnPS8PrXdmjLw']",11,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z
Broadway,The Goo Goo Dolls,0RZuCBV900eNA2FXCQ3uUM,0.527,0.878,-5.704,1,0.0424,0.0005549999999999999,0.0,0.0852,0.757,132.791,238533,4,11,1,2000-04-22,50,1998-09-11,0,74,1747130,1,['2sil8z5kiy4r76CRTXxBCA'],11,2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls
Where I Wanna Be,Donell Jones,2uZwyxrg6VPvlVsvclIfel,0.664,0.396,-9.131,0,0.0298,0.52,0.0,0.268,0.453,102.053,253626,4,9,1,2000-04-22,60,1999-05-29,24,61,766759,1,['5KNqYrivNgVCHBssEUSu5B'],5,5KNqYrivNgVCHBssEUSu5B,Donell Jones
It's So Hard (featuring Donell Jones),Big Pun,5NQdweL8O7nGdM7e4IS1lf,0.9,0.593,-6.629,0,0.333,0.0554,0.0,0.0304,0.633,92.946,172933,4,9,1,2000-04-22,52,2000-03-01,0,65,1518425,2,"['2Xu7q46Hf02xOoEIm4E1Qs', '5KNqYrivNgVCHBssEUSu5B']",10,2Xu7q46Hf02xOoEIm4E1Qs,Big Pun
I Turn to You,Christina Aguilera,4Do68W4FWO2hRAJCzG1lus,0.599,0.47,-8.356,1,0.0376,0.38,0.0,0.111,0.298,127.177,273706,4,8,1,2000-04-15,61,1999,45,83,5560243,1,['1l7ZsJRRS8wlW3WfJfPfNS'],1,1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera
Wobble Wobble,504 Boyz,6frPth5B1zneT8EV71ZO0V,0.851,0.7020000000000001,-5.6179999999999986,1,0.28300000000000003,0.00296,0.0,0.36,0.331,170.014,214533,4,10,1,2000-04-15,43,2000-05-02,0,43,46423,1,['5ILgJERmX20rZuVVDQ7z5P'],7,5ILgJERmX20rZuVVDQ7z5P,504 Boyz
I Don't Wanna Kiss You Goodnight,LFO,16TZZy0lkwb5CoygaBzUbi,0.612,0.758,-4.123,1,0.0314,0.309,0.0,0.0949,0.579,128.015,245360,4,12,1,2000-04-15,36,1999-08-10,34,49,28331,1,['1FizW0swe8ODtXvEOHXbHX'],0,1FizW0swe8ODtXvEOHXbHX,LFO
The Chain of Love,Clay Walker,68AhslXGVDKUUyHnDkORGF,0.5329999999999999,0.315,-14.349,1,0.0308,0.235,1.19e-05,0.0939,0.316,140.918,304506,4,18,1,2000-04-15,42,1999,17,61,736737,2,"['4MPkNgar5uTd8Sqvrr7par', '5xqbOE3oE6zBEMfpJ3B4MD']",2,4MPkNgar5uTd8Sqvrr7par,Clay Walker
Graduation (Friends Forever),Vitamin C,45V4Mk7vZV2b9JfSWuUX9m,0.583,0.637,-6.464,1,0.0459,0.00722,0.0419,0.177,0.315,80.00399999999998,340613,4,10,1,2000-04-15,55,1999-08-31,14,44,57352,1,['3OsUvoKmZA2gw8rETtxGlz'],0,3OsUvoKmZA2gw8rETtxGlz,Vitamin C
"Best Of Me, Part 2 - Backstage",Various Artists,4iENqwyANM57YUEDcFVpWq,0.74,0.5760000000000001,-7.4860000000000015,0,0.3670000000000001,0.114,0.0,0.0963,0.763,96.355,221400,4,12,1,2000-04-15,57,2000-01-01,0,87,6572057,2,"['6lHL3ubAMgSasKjNqKb8HF', '3nFkdlSjzX9mRTtwJOzDYB']",8,6lHL3ubAMgSasKjNqKb8HF,Mýa
