name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name,release_year,chart_year
"West Coast (feat. Blueface, ALLBLACK & YG)",G-Eazy,4EnEGf9JzAJhF1XNY9DJcD,0.882,0.775,-4.986000000000001,1,0.33399999999999996,0.0738,0.0,0.701,0.805,98.023,256966,4,12,0,,61,2019-03-28,100,85,10236100,4,"['02kJSzxNuaWGqwubyUba0Z', '3Fl1V19tmjt57oBdxXKAjJ', '1cutd8e41XvxXnFPOFIxMD', '0A0FS04o6zMoto8OKPsDwY']",10,02kJSzxNuaWGqwubyUba0Z,G-Eazy,2019,
What You See Is What You Get,Luke Combs,273TiTHLlHSRe5zrzs7wvD,0.593,0.805,-4.8919999999999995,1,0.0347,0.0645,0.0,0.226,0.848,103.949,171920,4,7,0,,68,2019-11-08,183,88,3811409,1,['718COspgdWOnwOFpJHRZHS'],5,718COspgdWOnwOFpJHRZHS,Luke Combs,2019,
Undo (with Calum Scott & Shenseea),Naughty Boy,0LqRum57A3S9IaE64UDRzO,0.722,0.79,-4.513,0,0.0514,0.29,0.0,0.146,0.24,122.039,202723,4,12,0,,51,2019-03-22,20,78,3286747,3,"['1bT7m67vi78r2oqvxrP3X5', '6ydoSd3N2mwgwBHtF6K7eX', '1OFOShsIbhy1l5x73yuVyB']",11,1bT7m67vi78r2oqvxrP3X5,Naughty Boy,2019,
JACKBOYS,JACKBOYS,62zKJrpbLxz6InR3tGyr7o,0.413,0.13,-25.166,0,0.0336,0.9,0.82,0.111,0.0676,123.34200000000001,46836,1,3,0,,62,2019-12-27,0,77,333448,1,['7A8S43ryYdbWpJKeHRZRcq'],0,7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,2019,
C7osure (You Like),Lil Nas X,4no0eHn4fEB7tN1yZSXMma,0.847,0.742,-5.515,0,0.247,0.397,0.0,0.135,0.56,133.989,148653,4,9,0,,61,2019-06-21,0,81,3680917,1,['7jVv8c5Fj3E9VhNjxT4snq'],8,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,2019,
See The Way,The Chainsmokers,6VWz99969QmNc2gWo21ktl,0.5579999999999999,0.456,-8.118,1,0.0945,0.129,0.0,0.18899999999999997,0.5660000000000001,94.851,177960,4,9,0,,60,2019-12-06,229,87,17958612,2,"['69GGBxA162lTqCwzJG5jLp', '30DhU7BDmF4PH0JVhu8ZRg']",2,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,2019,
GAMES ON YOUR PHONE,24kGoldn,2EsyJN3AvC3zBlkQpb119M,0.6829999999999999,0.607,-5.62,0,0.0601,0.15,0.0,0.147,0.496,152.945,150933,4,7,0,,68,2019-11-22,1,91,512014,1,['6fWVd57NKTalqvmjRd2t8Z'],5,6fWVd57NKTalqvmjRd2t8Z,24kGoldn,2019,
Take Me Away (feat. Russ & Wiz Khalifa),Snoop Dogg,08YwOYGFPB7ltBok0WQAFF,0.6779999999999999,0.7120000000000001,-5.956,0,0.0284,0.20199999999999999,2.52e-05,0.0711,0.376,130.015,236362,4,12,0,,53,2019-08-16,203,88,19573431,3,"['7hJcb9fa4alzcOq3EaNPoG', '1z7b1Pr1rSlvWRzsW3HOrS', '137W8MRPWKqSmrBGDBFSop']",3,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,2019,
PYD - Single Version,Various Artists,5Z045w5cWLbbC7P6UceQUA,0.40399999999999997,0.47700000000000004,-6.771,0,0.0386,0.83,0.0,0.397,0.435,123.456,317200,4,10,0,,10,2019-11-22,372,97,41737052,2,"['1uNFoZAHBGtllmzznpCI3s', '2mxe0TnaNL039ysAj51xPQ']",4,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2019,
Pose (feat. Megan Thee Stallion & Lil Uzi Vert),Yo Gotti,57ciWTOKgrXVBxktMJyUB1,0.9209999999999999,0.73,-3.8989999999999996,0,0.28300000000000003,0.00466,0.0,0.1,0.44,120.075,226038,4,13,0,,57,2019-10-18,69,93,15725871,3,"['6Ha4aES39QiVjR0L2lwuwq', '181bsRPaVXVlUKXrxwZfHK', '4O15NlyKLIASxsJ0PrXPfz']",10,6Ha4aES39QiVjR0L2lwuwq,Yo Gotti,2019,
